quadrant,accuracy,correct,support
quad1,0.5641025641025641,22,39
quad2,0.6274509803921569,32,51
quad3,0.7727272727272727,17,22
quad4,0.3684210526315789,7,19
quad5,0.9285714285714286,13,14
