label,precision,recall,f1_score,support
empty,0.8571428571428571,0.8,0.8275862068965518,15
static_presence,0.7142857142857143,0.7142857142857143,0.7142857142857143,28
movement,0.6774193548387096,0.7,0.6885245901639343,30
