strategy,scenarios,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,final_state_changes_mean,extra_state_changes_mean,missing_state_changes_mean,transition_success_rate_mean,transition_delay_mean
raw_prediction,90,0.6814814814814819,0.18584881092237848,0.6689831492533967,0.18688134754404853,0.6804952894110536,0.7293860046081437,0.6661409946869349,0.6114224484651092,20.344444444444445,16.344444444444445,0.0,0.9833333333333333,0.8694444444444445
majority_vote_3,90,0.6779629629629628,0.19569167891394645,0.6649790869520102,0.20122370555685867,0.6705105332428483,0.7226632909922036,0.6349521143660065,0.6373218554978204,12.522222222222222,8.522222222222222,0.0,0.9722222222222222,1.7694444444444444
majority_vote_5,90,0.6614814814814816,0.1831420625884814,0.6423440599962713,0.19326038830551795,0.645427896405475,0.7036301504511836,0.5964771515873784,0.6269248779502505,10.055555555555555,6.1,0.044444444444444446,0.9416666666666667,2.688888888888889
state_machine_confirm_2,90,0.6590740740740739,0.20859851435723095,0.6397150245287637,0.2214758963278667,0.6411950950120663,0.6878452939331445,0.5989851075408963,0.63231467211225,8.11111111111111,4.133333333333334,0.022222222222222223,0.9083333333333333,2.602777777777778
majority_vote_7,90,0.6231481481481479,0.17527217713264576,0.6006250730841723,0.18305535251988345,0.6034480292928092,0.6774945601563936,0.537870367055135,0.5865102920409878,8.166666666666666,4.211111111111111,0.044444444444444446,0.9111111111111111,3.688888888888889
vote5_state_machine_confirm_2,90,0.6088888888888888,0.17517539711125654,0.5788550269412738,0.1895636301384856,0.5802548031482796,0.6496568991807409,0.5150520357368344,0.571856145906246,5.4222222222222225,1.5555555555555556,0.13333333333333333,0.8666666666666667,4.208333333333333
state_machine_confirm_3,90,0.5948148148148149,0.195199240480656,0.5465814211248985,0.21766605197655536,0.5499486309217727,0.62730892828145,0.4826899629527175,0.5297453721405276,3.6555555555555554,0.4,0.7444444444444445,0.7611111111111111,4.752777777777778
vote5_state_machine_confirm_3,90,0.5642592592592593,0.16066146278477192,0.5271371951995085,0.17546984076290856,0.5305636547885558,0.6190592190250922,0.4523474693191611,0.510004897254273,4.222222222222222,0.6777777777777778,0.45555555555555555,0.8111111111111111,5.136111111111111
