seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean
7,seed7_quad1_scenario1,quad1,raw_prediction,60,0.45,0.4446943300601837,0.49460880582831807,0.4571428571428572,0.6818181818181818,0.1951219512195122,4,25,21,0,4,4,1.0,2.0
7,seed7_quad1_scenario1,quad1,majority_vote_3,60,0.4166666666666667,0.4163246694026448,0.46238030095759236,0.4117647058823529,0.6511627906976745,0.18604651162790697,4,19,15,0,4,4,1.0,2.75
7,seed7_quad1_scenario1,quad1,majority_vote_5,60,0.4166666666666667,0.37705373618799887,0.40700993797105317,0.13793103448275862,0.7659574468085107,0.22727272727272727,4,15,11,0,4,3,0.75,5.0
7,seed7_quad1_scenario1,quad1,majority_vote_7,60,0.3333333333333333,0.29858788554440724,0.3249721293199554,0.07692307692307693,0.6521739130434783,0.16666666666666666,4,9,5,0,4,3,0.75,6.5
7,seed7_quad1_scenario1,quad1,state_machine_confirm_2,60,0.43333333333333335,0.4338624338624339,0.4825396825396825,0.4444444444444444,0.6666666666666666,0.19047619047619044,4,19,15,0,4,4,1.0,2.75
7,seed7_quad1_scenario1,quad1,state_machine_confirm_3,60,0.4166666666666667,0.3728602552131964,0.40933706816059756,0.2222222222222222,0.7058823529411765,0.19047619047619044,4,5,1,0,4,3,0.75,6.5
7,seed7_quad1_scenario1,quad1,vote5_state_machine_confirm_2,60,0.35,0.3196442643251154,0.3480175616345829,0.14285714285714285,0.6382978723404256,0.17777777777777776,4,9,5,0,4,3,0.75,6.5
7,seed7_quad1_scenario1,quad1,vote5_state_machine_confirm_3,60,0.31666666666666665,0.29639936782793924,0.3284065141207998,0.2222222222222222,0.5306122448979592,0.13636363636363635,4,7,3,0,4,3,0.75,7.25
7,seed7_quad1_scenario2,quad1,raw_prediction,60,0.4666666666666667,0.4560846560846561,0.5073015873015873,0.4571428571428572,0.7111111111111111,0.2,4,24,20,0,4,4,1.0,2.5
7,seed7_quad1_scenario2,quad1,majority_vote_3,60,0.4166666666666667,0.40719696969696967,0.4431818181818182,0.3125,0.6818181818181818,0.22727272727272727,4,16,12,0,4,4,1.0,2.5
7,seed7_quad1_scenario2,quad1,majority_vote_5,60,0.43333333333333335,0.4043650793650794,0.43761904761904763,0.26666666666666666,0.7083333333333334,0.23809523809523808,4,14,10,0,4,4,1.0,3.25
