strategy,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,movement_f1_mean,empty_f1_mean,static_presence_f1_mean,state_changes_mean_per_file,state_changes_std_per_file
majority_vote_5,10,0.6908366707798715,0.07783730470810213,0.6912301847991718,0.07797084817246391,0.6909715217612156,0.6483554807833826,0.771478139251973,0.6538569343621596,0.18048780487804877,0.3908836220012792
majority_vote_3,10,0.6897840392009242,0.07897906516887652,0.6902868244533751,0.07906569619830282,0.6900380441544096,0.6483554807833826,0.7695905185320432,0.6529144740446993,0.18536585365853658,0.40095068464457617
raw_window_prediction,10,0.6876444511002376,0.08108051016023393,0.6881652465319913,0.08117604254757411,0.6879278984953662,0.6462865152661412,0.7652863505417685,0.6529228737880639,0.1902439024390244,0.4338173595964196
state_machine_confirm_3,10,0.6866955432400583,0.09695626765525658,0.6842501194469454,0.0978190148942663,0.6849725204066273,0.6402785335607284,0.7625117424102222,0.6499600823698852,0.0024390243902439024,0.0493262156491625
state_machine_confirm_2,10,0.6809876729092452,0.098114977673056,0.679104789539351,0.09891656452602822,0.6795144868470367,0.6339056754008353,0.7593502567303209,0.6440584364868969,0.014634146341463415,0.12008325487893792
