label,precision,recall,f1_score,support
empty,0.5277777777777778,0.76,0.6229508196721312,50
static_presence,0.6074074074074074,0.780952380952381,0.6833333333333332,105
movement,0.7407407407407407,0.37735849056603776,0.5,106
