task,description,train_samples,test_samples,train_files,test_files,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,tree_nodes,tree_decision_nodes,tree_leaf_nodes,tree_actual_max_depth
Task A - empty vs presence,Binary classification between empty and presence.,646,144,186,46,0.8541666666666666,0.7685483870967742,0.7108262108262108,0.7330272799505606,0.842641129032258,0.8541666666666666,0.8454246490685972,41,20,21,6
Task B - static_presence vs movement,Binary classification between stationary presence and movement.,478,115,145,36,0.5826086956521739,0.5818704600484261,0.5821190042501518,0.5818181818181818,0.5835930097905042,0.5826086956521739,0.5829249011857708,63,31,32,6
