task,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,positive_class_f1_mean
empty_vs_presence,0.8845667912990776,0.021495373186430997,0.8731972232356858,0.022976792121340944,0.8856972309869671,0.9110415292225771
static_vs_movement,0.9301114806115418,0.03154805658376334,0.9300563629985372,0.0316193689059777,0.9300619360895382,0.931281396310076
