selected_by_policy,model_name,family,top_k,top_k_sort,parameters_json,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,roc_auc_ovr_weighted_mean,average_precision_macro_mean,average_precision_weighted_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,fit_time_ms_mean,prediction_time_ms_mean,prediction_time_us_per_window_mean,actual_tree_count_mean,actual_node_count_mean,actual_max_depth_mean,used_feature_count_mean,mean_comparisons_per_prediction_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_std,average_precision_macro_std,average_precision_weighted_std,empty_f1_std,static_presence_f1_std,movement_f1_std,fit_time_ms_std,prediction_time_ms_std,prediction_time_us_per_window_std,actual_tree_count_std,actual_node_count_std,actual_max_depth_std,used_feature_count_std,mean_comparisons_per_prediction_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std
False,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.859251968503937,0.8575029070224488,0.8574129442247453,0.9473296237136931,0.9472865745909484,0.895483694494262,0.895394070876295,0.8419580419580419,0.7816455696202531,0.948905109489051,7796.191000001272,4.259000001184177,4.191929135023796,60.0,900.0,3.0,64.0,180.0,100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_10_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 10}",0.859251968503937,0.8560698823823113,0.8559785091272849,0.9448281040720005,0.9447835183891544,0.8941084180577943,0.8940241193993153,0.8490566037735849,0.7702479338842976,0.948905109489051,6183.601799999451,3.9044000004651025,3.8429133862845495,30.0,450.0,3.0,57.0,90.0,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,extra_trees_10_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.859251968503937,0.8542155162844818,0.8541302589768514,0.9460368013649871,0.9459928276716814,0.8943217154854909,0.8942354884465074,0.8594164456233422,0.7623931623931623,0.9408369408369408,70.35810000161291,5.684100000507897,5.594586614673127,10.0,1822.0,8.0,124.0,78.474,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_10_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 10}",0.8572834645669292,0.8540734477278168,0.8539861860843079,0.9453931682543827,0.9453489884132027,0.8986936557694413,0.8986097367749755,0.8525469168900804,0.7669421487603306,0.9427312775330396,5352.420200000779,4.248700002790429,4.181791341329162,30.0,210.0,2.0,32.0,60.0,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_10_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 10}",0.8572834645669292,0.8539941325117181,0.8539081533374115,0.9445641106683998,0.9445185736597339,0.8952702509975189,0.8951826037040854,0.8536912751677852,0.7669421487603306,0.9413489736070382,4272.093299998232,3.85900000037509,3.798228346825876,30.0,210.0,2.0,26.0,60.0,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,extra_trees_20_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 20}",0.8572834645669292,0.8538521969084331,0.8537459838090492,0.9555031169703375,0.9554665922058693,0.9121320752335146,0.9120584127735113,0.8383705650459922,0.7614213197969543,0.961764705882353,134.8188999982085,11.812900000222726,11.626870078959376,20.0,3740.0,8.0,160.0,156.4,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 20}",0.8562992125984252,0.8533910461375175,0.8533044733742601,0.9470716580423795,0.9470272275874045,0.8897960501522283,0.8897014110673784,0.8521031207598372,0.766721044045677,0.9413489736070382,6910.898300000554,4.377799999929266,4.308858267646915,60.0,420.0,2.0,35.0,120.0,100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_10_topall,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 10}",0.8562992125984252,0.8532273640251501,0.8531404613639187,0.9525667573015874,0.9525323074019482,0.9092174827998925,0.9091468763224968,0.8509485094850948,0.7672131147540984,0.9415204678362573,36817.56060000043,12.54299999709474,12.345472438085373,30.0,210.0,2.0,45.0,60.0,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_3_top126,random_forest,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 3}",0.8543307086614174,0.8527549238288697,0.8526502885890505,0.9392050742251795,0.9391564250905611,0.8690465036590238,0.8689483782932257,0.8233657858136301,0.7758346581875993,0.9590643274853801,105.02479999922798,2.8007000000798143,2.7565944882675337,3.0,519.0,8.0,107.0,22.994,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_10_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.8543307086614174,0.8519443425419629,0.851840287531102,0.9445030179741541,0.9444546999728717,0.8866204233597254,0.8865196893652553,0.8324175824175825,0.7657512116316639,0.9576642335766423,319.92040000113775,6.9447999994736165,6.8354330703480475,10.0,1666.0,8.0,100.0,76.816,100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
