source_file,file_name,session,quadrant,label,evaluation_count,mean_window_count,accuracy_mean,accuracy_std,mean_confidence
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p002_20260718_172657.bin,static_presence_session_01_quad4_p002_20260718_172657.bin,session_01,quad4,static_presence,2,17.0,0.29411764705882354,0.0,0.5276470588235294
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p002_20260718_173954.bin,static_presence_session_01_quad5_p002_20260718_173954.bin,session_01,quad5,static_presence,2,17.0,0.29411764705882354,0.08318903308077032,0.5955882352941176
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\empty\empty_session_02_quad3_p009_20260719_003426.bin,empty_session_02_quad3_p009_20260719_003426.bin,session_02,quad3,empty,2,17.0,0.3235294117647059,0.20797258270192573,0.6041176470588235
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\movement\movement_session_01_quad2_p008_20260718_163747.bin,movement_session_01_quad2_p008_20260718_163747.bin,session_01,quad2,movement,3,17.0,0.35294117647058826,0.0,0.6613725490196078
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p020_20260718_173434.bin,static_presence_session_01_quad4_p020_20260718_173434.bin,session_01,quad4,static_presence,4,17.0,0.3823529411764706,0.14002800840280097,0.5470588235294118
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p005_20260718_161648.bin,empty_session_01_quad1_p005_20260718_161648.bin,session_01,quad1,empty,3,17.0,0.411764705882353,0.15563243006262295,0.5613725490196079
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\empty\empty_session_02_quad1_p019_20260719_005003.bin,empty_session_02_quad1_p019_20260719_005003.bin,session_02,quad1,empty,3,17.0,0.411764705882353,0.1176470588235294,0.5768627450980391
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p025_20260718_173641.bin,static_presence_session_01_quad4_p025_20260718_173641.bin,session_01,quad4,static_presence,3,17.0,0.43137254901960786,0.1698089027028311,0.6035294117647059
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p016_20260718_174549.bin,static_presence_session_01_quad5_p016_20260718_174549.bin,session_01,quad5,static_presence,3,17.0,0.45098039215686275,0.033961780540566235,0.6005882352941176
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p015_20260718_173227.bin,static_presence_session_01_quad4_p015_20260718_173227.bin,session_01,quad4,static_presence,3,16.0,0.4583333333333333,0.09547032697824667,0.633125
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\empty\empty_session_02_quad4_p005_20260719_005727.bin,empty_session_02_quad4_p005_20260719_005727.bin,session_02,quad4,empty,1,17.0,0.47058823529411764,0.0,0.6288235294117647
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\static_presence\static_presence_session_01_quad2_p020_20260718_164252.bin,static_presence_session_01_quad2_p020_20260718_164252.bin,session_01,quad2,static_presence,2,17.0,0.47058823529411764,0.16637806616154058,0.5505882352941176
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\static_presence\static_presence_session_01_quad3_p016_20260718_165601.bin,static_presence_session_01_quad3_p016_20260718_165601.bin,session_01,quad3,static_presence,2,17.0,0.47058823529411764,0.0,0.7497058823529412
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p016_20260719_004856.bin,static_presence_session_02_quad1_p016_20260719_004856.bin,session_02,quad1,static_presence,2,17.0,0.47058823529411764,0.0,0.5417647058823529
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\static_presence\static_presence_session_02_quad2_p006_20260719_012426.bin,static_presence_session_02_quad2_p006_20260719_012426.bin,session_02,quad2,static_presence,3,17.0,0.4901960784313726,0.033961780540566235,0.5596078431372549
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p002_20260719_004344.bin,static_presence_session_02_quad1_p002_20260719_004344.bin,session_02,quad1,static_presence,3,17.0,0.5098039215686274,0.06792356108113246,0.6894117647058824
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\static_presence\static_presence_session_01_quad2_p011_20260718_163904.bin,static_presence_session_01_quad2_p011_20260718_163904.bin,session_01,quad2,static_presence,1,17.0,0.5294117647058824,0.0,0.6511764705882354
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\static_presence\static_presence_session_02_quad2_p016_20260719_012810.bin,static_presence_session_02_quad2_p016_20260719_012810.bin,session_02,quad2,static_presence,1,17.0,0.5294117647058824,0.0,0.5894117647058823
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\static_presence\static_presence_session_01_quad3_p020_20260718_165743.bin,static_presence_session_01_quad3_p020_20260718_165743.bin,session_01,quad3,static_presence,1,17.0,0.5882352941176471,0.0,0.5123529411764707
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\static_presence\static_presence_session_02_quad3_p006_20260719_003319.bin,static_presence_session_02_quad3_p006_20260719_003319.bin,session_02,quad3,static_presence,1,17.0,0.5882352941176471,0.0,0.8511764705882353
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p002_20260719_011131.bin,static_presence_session_02_quad5_p002_20260719_011131.bin,session_02,quad5,static_presence,1,17.0,0.5882352941176471,0.0,0.7999999999999999
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\movement\movement_session_01_quad4_p021_20260718_173459.bin,movement_session_01_quad4_p021_20260718_173459.bin,session_01,quad4,movement,2,17.0,0.5882352941176471,0.0,0.5535294117647058
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p006_20260718_174135.bin,static_presence_session_01_quad5_p006_20260718_174135.bin,session_01,quad5,static_presence,2,17.0,0.5882352941176471,0.08318903308077032,0.5576470588235294
