class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,average_precision_mean,support_total
empty,0.792585227495101,0.03712058626785225,0.9019048199842483,0.03380822528336214,0.8432427759833848,0.028967871617092928,0.9525634912753695,0.8776585606397432,3386
movement,0.9206194692261607,0.04320929459313587,0.9439202267568824,0.027211837794670773,0.9318060253740053,0.03184643092344166,0.9872391102157534,0.9703657798294287,3370
static_presence,0.8224319640930648,0.051475166438629934,0.6829716574731878,0.043993975221527856,0.7455398681188179,0.04130315062092354,0.9032820828855739,0.8571420563762955,3354
