seed,test_windows,test_files,accuracy,mean_confidence
7,1013,60,0.8252714708785784,0.7914412635735439
13,1011,60,0.8338278931750742,0.7830069238377844
21,1006,60,0.8389662027833003,0.7523459244532803
42,1016,60,0.890748031496063,0.8165157480314961
84,1014,60,0.8530571992110454,0.7966074950690335
126,1011,60,0.8090999010880316,0.7786251236399605
168,1006,60,0.8389662027833003,0.7767793240556661
210,1011,60,0.8358061325420376,0.790969337289812
336,1014,60,0.8274161735700197,0.7762820512820513
512,1008,60,0.8799603174603174,0.7890873015873016
