correlation_threshold,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,average_precision_macro_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,average_precision_macro_std,empty_f1_std,static_presence_f1_std,movement_f1_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std,selected
0.95,0.8150704466783357,0.809187499776956,0.8094628719119127,0.9316185368658895,0.8777735185921629,0.8378387290352762,0.7096921353337117,0.8800316349618805,126.0,95.33333333333333,9057.666666666666,2273.3333333333335,0.013918426274285694,0.017926034238143467,0.017624989510759283,0.0051208099912137955,0.007961631148054366,0.0178200864896824,0.041998298115152835,0.02937779253840624,0.0,0.9428090415820642,6.649979114420214,6.649979114420055,True
0.85,0.8164043262967788,0.8130200122481775,0.8132452214595703,0.9330127612538014,0.8840305439258795,0.8300148499091288,0.7311464364138051,0.877898750421599,126.0,37.0,9057.666666666666,2273.3333333333335,0.009459550534595868,0.011549785375504492,0.011325092517895758,0.007490523366582982,0.00674597645024834,0.009873651924485912,0.03068398733866945,0.02371357469657527,0.0,0.0,6.649979114420214,6.649979114420055,False
0.9,0.811700080963524,0.8064055880673063,0.8066738756125722,0.9321127127764809,0.8812907684606847,0.837877412453801,0.714117326557893,0.8672220251902253,126.0,56.666666666666664,9057.666666666666,2273.3333333333335,0.01144824574897606,0.01544097941035968,0.015116394165611126,0.007672970252696454,0.009770777656662788,0.016219595783500095,0.04347807422017524,0.026710149745360852,0.0,1.2472191289246477,6.649979114420214,6.649979114420055,False
0.975,0.7984921406497169,0.7903352902026866,0.7906484554380752,0.9268878348430581,0.8643483134945485,0.8070961927535422,0.6710022198049946,0.8929074580495228,126.0,108.0,9057.666666666666,2273.3333333333335,0.026122000851043513,0.02936711221610324,0.02910673381859096,0.009833413751272077,0.014278209559018432,0.020113886749867294,0.05920143609921297,0.020926114512829747,0.0,0.0,6.649979114420214,6.649979114420055,False
0.99,0.7984921406497169,0.7903352902026866,0.7906484554380752,0.9268878348430581,0.8643483134945485,0.8070961927535422,0.6710022198049946,0.8929074580495228,126.0,108.0,9057.666666666666,2273.3333333333335,0.026122000851043513,0.02936711221610324,0.02910673381859096,0.009833413751272077,0.014278209559018432,0.020113886749867294,0.05920143609921297,0.020926114512829747,0.0,0.0,6.649979114420214,6.649979114420055,False
