seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,true_class,predicted_class,count
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,empty,292
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,static_presence,43
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,movement,3
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,empty,72
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,static_presence,244
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,movement,22
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,empty,6
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,static_presence,19
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,movement,312
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,empty,298
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,static_presence,38
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,movement,2
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,empty,71
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,static_presence,248
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,movement,19
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,empty,3
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,static_presence,18
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,movement,316
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,empty,297
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,static_presence,39
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,movement,2
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,empty,70
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,static_presence,241
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,movement,27
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,empty,5
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,static_presence,20
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,movement,312
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,empty,291
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,static_presence,45
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,movement,2
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,empty,62
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,static_presence,250
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,movement,26
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,empty,4
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,static_presence,22
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,movement,311
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,empty,304
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,static_presence,29
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,movement,5
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",static_presence,empty,196
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",static_presence,static_presence,107
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",static_presence,movement,35
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",movement,empty,0
