seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
13,100,25,240,60,4028,1011,94,1034,logistic_regression_c1_balanced_all,logistic_regression,all,1034,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.798219584569733,0.7964181950297174,0.7964891425840912,0.9284609577653452,0.9285343698232674,0.8714106980794734,0.8714371014143814,0.7786499215070644,0.7069219440353461,0.9036827195467422,1582.5538999997661,8.152200000040466,8.06350148371955,1011,0,0,0,1034,3102.0
13,100,25,240,60,4028,1011,94,1034,xgboost_depth2_10_all,xgboost,all,1034,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8298714144411474,0.8256513685121533,0.8257841620451604,0.9333970676021179,0.933508618086484,0.8985408303206808,0.8986472352016293,0.8671532846715329,0.7328990228013029,0.8769017980636238,2245.215699997061,17.42780000131461,17.238180021082698,1011,30,210,2,32,60.0
13,100,25,240,60,4028,1011,94,1034,xgboost_depth2_20_all,xgboost,all,1034,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8269040553907022,0.8219887711267022,0.8221276622918903,0.939434852015156,0.9395369519161172,0.9109547566287346,0.9110590479299622,0.862914862914863,0.722495894909688,0.8805555555555555,3362.8212999974494,18.160900002840208,17.963303662552136,1011,60,420,2,54,120.0
13,100,25,240,60,4028,1011,94,1034,xgboost_depth3_20_all,xgboost,all,1034,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8427299703264095,0.8392161088564976,0.8393449058843149,0.9521863947301531,0.952267810089665,0.928780468322009,0.9288706094273527,0.8830409356725146,0.752827140549273,0.8817802503477051,5457.925500002602,18.452399999659974,18.251632047141417,1011,60,900,3,129,180.0
21,100,25,240,60,4033,1006,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8250497017892644,0.817511263708404,0.8186258691926843,0.952304314326654,0.9526667427472154,0.9101216086456697,0.9105538021904349,0.8263157894736842,0.7071428571428572,0.9190751445086706,81494.18720000176,11.7973999986134,11.72703777198151,1006,60,898,3,167,180.0
21,100,25,240,60,4033,1006,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.794234592445328,0.7923952929499753,0.7934313791626899,0.9181843460461633,0.9187296563304018,0.8475012148332075,0.8480710432270767,0.7875507442489851,0.6871961102106969,0.9024390243902439,1108.7565999987419,8.144600000377977,8.09602385723457,1006,0,0,0,1056,3168.0
21,100,25,240,60,4033,1006,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.7723658051689861,0.7700289470733045,0.7711499080496179,0.9026725161228425,0.9032833144386996,0.8192747115025152,0.8198976895005228,0.7624161073825504,0.6557377049180327,0.8919330289193302,1439.3776999968395,7.672499999898719,7.626739562523577,1006,0,0,0,1056,3168.0
21,100,25,240,60,4033,1006,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.7455268389662028,0.7459125061806063,0.7470262300869733,0.890265766823533,0.8908973949999062,0.8014748416419675,0.8020759790430461,0.7270233196159122,0.6300940438871473,0.8806201550387597,1523.2064000010723,7.588799999211915,7.543538766612241,1006,0,0,0,1056,3168.0
21,100,25,240,60,4033,1006,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.7703777335984096,0.7680588477722871,0.7691787218070324,0.9021313941117203,0.9027467189791598,0.8178508646064205,0.8184644047875659,0.7587131367292225,0.6535303776683087,0.8919330289193302,1397.2083999979077,7.360999999946216,7.317097415453495,1006,0,0,0,1056,3168.0
21,100,25,240,60,4033,1006,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8001988071570576,0.7865772296152044,0.7880148730036743,0.9235695926794142,0.9242508586895802,0.8593574175198717,0.85995195735561,0.8075949367088607,0.6461538461538462,0.905982905982906,2217.7721000007296,17.329899998003384,17.22654075348249,1006,30,210,2,36,60.0
21,100,25,240,60,4033,1006,96,1056,xgboost_depth2_20_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7982107355864811,0.7831941415692002,0.784725834076515,0.935846265831069,0.9363810101920719,0.8805043312454316,0.8810208984329719,0.8107416879795396,0.6346153846153846,0.9042253521126761,3261.128699999972,20.051200001034886,19.93161033900088,1006,60,420,2,56,120.0
21,100,25,240,60,4033,1006,96,1056,xgboost_depth3_20_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8071570576540755,0.7942512003754721,0.7956523000498514,0.9486523407775254,0.9490694961994002,0.9064737625610985,0.9069817891440743,0.8101910828025478,0.6564885496183206,0.9160739687055477,4782.032700000855,18.947699998534517,18.834691847449818,1006,60,900,3,144,180.0
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_depth3_20_all,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8799212598425197,0.8783907397135917,0.8783159819530266,0.9545641872853784,0.954528078407429,0.9070764749262735,0.9069961586907155,0.8693259972489684,0.8115015974440895,0.9543446244477173,84722.63569999996,11.167900000145892,10.992027559198712,1016,60,900,3,170,180.0
42,100,25,240,60,4023,1016,100,1100,logistic_regression_c0_1_all,logistic_regression,all,1100,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.860236220472441,0.8597239791966821,0.8596372517685293,0.939602614503043,0.9395610052581611,0.8753776271256372,0.8752715783691108,0.8400556328233658,0.7912772585669782,0.9478390461997019,1119.8077000008198,7.408099998428952,7.291437006327708,1016,0,0,0,1100,3300.0
