quadrant,accuracy_mean,accuracy_std
quad1,0.8662232241917034,0.08856211005058522
quad2,0.8313152934900548,0.050205455668668034
quad3,0.8797376854463191,0.06547597408223038
quad4,0.7609852408016808,0.047856645524732164
quad5,0.878209214720371,0.04483935794833177
