seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
7,100,25,240,60,4026,1013,96,30,gradient_boosting_depth3_20_top30,gradient_boosting,30,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.7166831194471865,0.7017169349065142,0.7015247011757783,0.8631075905560421,0.8629929273596219,0.729636638272186,0.7294200566963515,0.7268170426065163,0.48188405797101447,0.8964497041420119,2528.686800000287,3.813700001046527,3.7647581451594543,1013,60,900,3,30,180.0
7,100,25,240,60,4026,1013,96,50,gradient_boosting_depth3_20_top50,gradient_boosting,50,50,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.7058242843040474,0.6948346809680831,0.6946388859106143,0.8623151816973623,0.862197879462668,0.7334002027279998,0.7331797792310288,0.7078507078507078,0.4834782608695652,0.8931750741839762,4054.733999997552,5.713499998819316,5.640177688864083,1013,60,900,3,45,180.0
7,100,25,240,60,4026,1013,96,70,gradient_boosting_depth3_20_top70,gradient_boosting,70,70,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.700888450148075,0.6908269537988415,0.6906285086872391,0.8676635510372099,0.8675524298517692,0.7468694035802609,0.7466667432818274,0.6987012987012987,0.4819277108433735,0.8918518518518519,5631.241499999305,4.0962999992189,4.043731489850839,1013,60,900,3,59,180.0
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8371174728529122,0.8361462519854329,0.8360577329609971,0.9468419400619051,0.9468041669127552,0.893652449624657,0.8935899568442132,0.8248587570621468,0.7577639751552795,0.9258160237388724,7896.291400000337,4.139099997701123,4.085982228727664,1013,60,900,3,64,180.0
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8509378084896347,0.8499025831469647,0.8498159268026472,0.9529855308459889,0.9529509581662364,0.913757439856797,0.913696503718628,0.8394366197183099,0.7725856697819314,0.9376854599406528,9888.040400001046,4.450799999176525,4.393682131467448,1013,60,900,3,76,180.0
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8390918065153011,0.8374865313425573,0.8374047273435856,0.9437654602788134,0.9437237639808069,0.8899864069219454,0.8899046531877006,0.8366197183098592,0.7554858934169278,0.9203539823008849,12365.02670000118,4.650199996831361,4.590523195292558,1013,60,900,3,91,180.0
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.84106614017769,0.8402957312545555,0.8402169330196683,0.9555738400712911,0.9555401628489942,0.9190138859251419,0.9189535215330737,0.837410071942446,0.7633587786259542,0.9201183431952663,81853.77719999815,11.64259999859496,11.49318854747775,1013,60,900,3,171,180.0
7,100,25,240,60,4026,1013,96,30,xgboost_depth3_20_top30,xgboost,30,30,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7087857847976308,0.6826003287189067,0.6823880281364838,0.8717406761433999,0.8716318616261663,0.7401997692498022,0.7399802454834494,0.7255369928400954,0.4246031746031746,0.8976608187134503,144.33659999849624,3.353899999638088,3.3108588347858716,1013,60,900,3,25,180.0
7,100,25,240,60,4026,1013,96,50,xgboost_depth3_20_top50,xgboost,50,50,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7068114511352419,0.6799687420166277,0.6797538436190987,0.8679131352189254,0.8677998424600294,0.7371836797409443,0.7369601153976866,0.7264038231780168,0.4158415841584158,0.8976608187134503,212.0487000029243,3.5975999999209307,3.5514313918271774,1013,60,896,3,42,179.74895397489541
7,100,25,240,60,4026,1013,96,70,xgboost_depth3_20_top70,xgboost,70,70,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7186574531095755,0.6975251279495578,0.6973217877284519,0.8668068223029038,0.8666930679167753,0.745855848704009,0.7456424292261916,0.7310513447432763,0.4580152671755725,0.9035087719298246,287.3360999983561,4.01390000115498,3.9623889448716483,1013,60,900,3,49,180.0
