seed,classifier,label,precision,recall,f1,support,roc_auc,average_precision
7,gradient_boosting_depth3_20,empty,0.696969696969697,0.696969696969697,0.696969696969697,33,0.8895405669599218,0.8499765757465086
7,gradient_boosting_depth3_20,static_presence,0.5135135135135135,0.6785714285714286,0.5846153846153846,28,0.7857142857142857,0.5487596349996537
7,gradient_boosting_depth3_20,movement,0.56,0.4117647058823529,0.4745762711864407,34,0.748794599807136,0.6786353289422208
7,logistic_regression_c0_1,empty,0.8214285714285714,0.696969696969697,0.7540983606557377,33,0.8465298142717498,0.8054728608881204
7,logistic_regression_c0_1,static_presence,0.43333333333333335,0.4642857142857143,0.4482758620689655,28,0.6050106609808102,0.43649253475763833
7,logistic_regression_c0_1,movement,0.5135135135135135,0.5588235294117647,0.5352112676056338,34,0.721311475409836,0.6194860991622233
7,logistic_regression_c1,empty,0.8148148148148148,0.6666666666666666,0.7333333333333333,33,0.8607038123167156,0.8173420030380367
7,logistic_regression_c1,static_presence,0.36666666666666664,0.39285714285714285,0.3793103448275862,28,0.5602345415778252,0.3826124389887618
7,logistic_regression_c1,movement,0.5263157894736842,0.5882352941176471,0.5555555555555556,34,0.7107039537126325,0.6206080517630274
7,logistic_regression_c10,empty,0.8076923076923077,0.6363636363636364,0.711864406779661,33,0.8651026392961877,0.8079370812780615
7,logistic_regression_c10,static_presence,0.36666666666666664,0.39285714285714285,0.3793103448275862,28,0.5367803837953092,0.401749518528911
7,logistic_regression_c10,movement,0.5384615384615384,0.6176470588235294,0.5753424657534246,34,0.6996142719382835,0.5966100676495273
7,logistic_regression_c1_balanced,empty,0.7741935483870968,0.7272727272727273,0.75,33,0.8602150537634409,0.8140545775040735
7,logistic_regression_c1_balanced,static_presence,0.38461538461538464,0.35714285714285715,0.37037037037037035,28,0.5687633262260128,0.385442125315725
7,logistic_regression_c1_balanced,movement,0.5263157894736842,0.5882352941176471,0.5555555555555556,34,0.7150433944069431,0.6279228558983534
7,xgboost_depth2_10,empty,0.6060606060606061,0.6060606060606061,0.6060606060606061,33,0.8279569892473119,0.7909046517020123
7,xgboost_depth2_10,static_presence,0.5,0.6785714285714286,0.5757575757575758,28,0.8062366737739872,0.5615330554159936
7,xgboost_depth2_10,movement,0.5,0.35294117647058826,0.41379310344827586,34,0.7389103182256509,0.6610031356033935
7,xgboost_depth2_20,empty,0.6875,0.6666666666666666,0.676923076923077,33,0.8475073313782991,0.8167316143052339
7,xgboost_depth2_20,static_presence,0.48717948717948717,0.6785714285714286,0.5671641791044776,28,0.8123667377398721,0.6091449920809394
7,xgboost_depth2_20,movement,0.625,0.4411764705882353,0.5172413793103449,34,0.7459016393442623,0.6623833637065953
7,xgboost_depth3_20,empty,0.7027027027027027,0.7878787878787878,0.7428571428571429,33,0.886119257086999,0.8475791536978268
7,xgboost_depth3_20,static_presence,0.5,0.6071428571428571,0.5483870967741935,28,0.7985074626865671,0.5553229368711867
7,xgboost_depth3_20,movement,0.5833333333333334,0.4117647058823529,0.4827586206896552,34,0.7135969141755062,0.6254544549414376
13,gradient_boosting_depth3_20,empty,0.8918918918918919,0.8918918918918919,0.8918918918918919,37,0.9848831882730188,0.9785380293526897
13,gradient_boosting_depth3_20,static_presence,0.65625,0.65625,0.65625,32,0.83837890625,0.6638309740306764
13,gradient_boosting_depth3_20,movement,0.5925925925925926,0.5925925925925926,0.5925925925925926,27,0.8293075684380032,0.6535090115455848
13,logistic_regression_c0_1,empty,0.782608695652174,0.4864864864864865,0.6,37,0.853412734768667,0.7037203436680073
13,logistic_regression_c0_1,static_presence,0.5319148936170213,0.78125,0.6329113924050633,32,0.77392578125,0.7287687111340356
13,logistic_regression_c0_1,movement,0.7307692307692307,0.7037037037037037,0.7169811320754716,27,0.868491680085883,0.7680700310887358
13,logistic_regression_c1,empty,0.782608695652174,0.4864864864864865,0.6,37,0.8630325240494733,0.718877077779688
13,logistic_regression_c1,static_presence,0.5217391304347826,0.75,0.6153846153846154,32,0.74267578125,0.6445679108095252
13,logistic_regression_c1,movement,0.6666666666666666,0.6666666666666666,0.6666666666666666,27,0.8378958668813741,0.7475643928198155
13,logistic_regression_c10,empty,0.76,0.5135135135135135,0.6129032258064516,37,0.8534127347686671,0.7073628435113573
13,logistic_regression_c10,static_presence,0.5121951219512195,0.65625,0.5753424657534246,32,0.71435546875,0.5927049037338609
13,logistic_regression_c10,movement,0.5666666666666667,0.6296296296296297,0.5964912280701754,27,0.7965646806226516,0.7232340556518089
13,logistic_regression_c1_balanced,empty,0.7916666666666666,0.5135135135135135,0.6229508196721312,37,0.863490609253321,0.7180527901787299
13,logistic_regression_c1_balanced,static_presence,0.5319148936170213,0.78125,0.6329113924050633,32,0.75244140625,0.6597541320205877
13,logistic_regression_c1_balanced,movement,0.72,0.6666666666666666,0.6923076923076923,27,0.8421900161030595,0.752823368647308
13,xgboost_depth2_10,empty,0.8888888888888888,0.8648648648648649,0.8767123287671232,37,0.9677049931287219,0.9524152851318537
13,xgboost_depth2_10,static_presence,0.6363636363636364,0.65625,0.6461538461538462,32,0.82373046875,0.635159068235028
13,xgboost_depth2_10,movement,0.5185185185185185,0.5185185185185185,0.5185185185185185,27,0.8129361245303274,0.6637518785359385
13,xgboost_depth2_20,empty,0.8461538461538461,0.8918918918918919,0.868421052631579,37,0.967934035730646,0.9546194233564043
13,xgboost_depth2_20,static_presence,0.6451612903225806,0.625,0.6349206349206349,32,0.84130859375,0.6794537056735619
13,xgboost_depth2_20,movement,0.5769230769230769,0.5555555555555556,0.5660377358490566,27,0.8298443370907139,0.6719402846270359
13,xgboost_depth3_20,empty,0.8787878787878788,0.7837837837837838,0.8285714285714286,37,0.9702244617498855,0.9607032257133674
13,xgboost_depth3_20,static_presence,0.6363636363636364,0.65625,0.6461538461538462,32,0.83154296875,0.6537195504485395
13,xgboost_depth3_20,movement,0.5666666666666667,0.6296296296296297,0.5964912280701754,27,0.8132045088566827,0.6252685031328937
21,gradient_boosting_depth3_20,empty,0.9090909090909091,0.6666666666666666,0.7692307692307693,15,0.9633333333333333,0.833287714464185
21,gradient_boosting_depth3_20,static_presence,0.6129032258064516,0.6551724137931034,0.6333333333333333,29,0.7518740629685157,0.6840187643770419
21,gradient_boosting_depth3_20,movement,0.6060606060606061,0.6451612903225806,0.625,31,0.7316715542521993,0.7062903354876031
21,logistic_regression_c0_1,empty,0.35,0.4666666666666667,0.4,15,0.76,0.47328391429459316
21,logistic_regression_c0_1,static_presence,0.5384615384615384,0.4827586206896552,0.509090909090909,29,0.6851574212893553,0.5981161493210324
21,logistic_regression_c0_1,movement,0.6206896551724138,0.5806451612903226,0.6,31,0.7316715542521994,0.7430677705659219
21,logistic_regression_c1,empty,0.5909090909090909,0.8666666666666667,0.7027027027027027,15,0.8844444444444445,0.6970399542202611
21,logistic_regression_c1,static_presence,0.56,0.4827586206896552,0.5185185185185185,29,0.7016491754122939,0.595591067411915
21,logistic_regression_c1,movement,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.7661290322580645,0.7701266858962836
21,logistic_regression_c10,empty,0.6190476190476191,0.8666666666666667,0.7222222222222222,15,0.9111111111111111,0.7933307923013806
21,logistic_regression_c10,static_presence,0.5833333333333334,0.4827586206896552,0.5283018867924528,29,0.6904047976011994,0.5912288733098846
21,logistic_regression_c10,movement,0.6666666666666666,0.6451612903225806,0.6557377049180327,31,0.749266862170088,0.7406014164306893
21,logistic_regression_c1_balanced,empty,0.5909090909090909,0.8666666666666667,0.7027027027027027,15,0.8855555555555555,0.7059288431091499
21,logistic_regression_c1_balanced,static_presence,0.56,0.4827586206896552,0.5185185185185185,29,0.7031484257871065,0.5978022490335219
21,logistic_regression_c1_balanced,movement,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.7690615835777127,0.771641116715218
21,xgboost_depth2_10,empty,0.625,0.3333333333333333,0.43478260869565216,15,0.893888888888889,0.6468758463758464
21,xgboost_depth2_10,static_presence,0.6111111111111112,0.7586206896551724,0.676923076923077,29,0.7698650674662669,0.6350246628770697
21,xgboost_depth2_10,movement,0.6129032258064516,0.6129032258064516,0.6129032258064516,31,0.718108504398827,0.7137847895083487
21,xgboost_depth2_20,empty,0.7692307692307693,0.6666666666666666,0.7142857142857143,15,0.9077777777777778,0.6980689198080502
21,xgboost_depth2_20,static_presence,0.6470588235294118,0.7586206896551724,0.6984126984126984,29,0.7916041979010494,0.669018681351306
21,xgboost_depth2_20,movement,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.7382697947214076,0.7497542297138424
21,xgboost_depth3_20,empty,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,0.9333333333333333,0.7535291251957918
21,xgboost_depth3_20,static_presence,0.6774193548387096,0.7241379310344828,0.7,29,0.7863568215892055,0.7058825397511822
21,xgboost_depth3_20,movement,0.6896551724137931,0.6451612903225806,0.6666666666666666,31,0.7441348973607038,0.721967649708339
42,gradient_boosting_depth3_20,empty,0.9230769230769231,0.8,0.8571428571428571,15,0.9758620689655172,0.850252291568081
42,gradient_boosting_depth3_20,static_presence,0.6666666666666666,0.6428571428571429,0.6545454545454545,28,0.7857142857142857,0.7360057952855208
42,gradient_boosting_depth3_20,movement,0.6666666666666666,0.7333333333333333,0.6984126984126984,30,0.772093023255814,0.6801799961350748
42,logistic_regression_c0_1,empty,0.5714285714285714,0.5333333333333333,0.5517241379310345,15,0.8770114942528735,0.6593365763043153
42,logistic_regression_c0_1,static_presence,0.5428571428571428,0.6785714285714286,0.6031746031746031,28,0.7388888888888889,0.6718219834566089
42,logistic_regression_c0_1,movement,0.75,0.6,0.6666666666666666,30,0.8100775193798451,0.7111983584727037
42,logistic_regression_c1,empty,0.6470588235294118,0.7333333333333333,0.6875,15,0.9114942528735632,0.7486170992380421
42,logistic_regression_c1,static_presence,0.5625,0.6428571428571429,0.6,28,0.7515873015873016,0.75585831228489
42,logistic_regression_c1,movement,0.7083333333333334,0.5666666666666667,0.6296296296296297,30,0.8038759689922481,0.6993551688122378
42,logistic_regression_c10,empty,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,0.9264367816091954,0.7730967745502414
42,logistic_regression_c10,static_presence,0.5428571428571428,0.6785714285714286,0.6031746031746031,28,0.7428571428571429,0.7082444983378952
42,logistic_regression_c10,movement,0.6521739130434783,0.5,0.5660377358490566,30,0.7775193798449613,0.6514336470174877
42,logistic_regression_c1_balanced,empty,0.6470588235294118,0.7333333333333333,0.6875,15,0.9114942528735632,0.744648845269788
42,logistic_regression_c1_balanced,static_presence,0.5625,0.6428571428571429,0.6,28,0.753968253968254,0.7567411025367611
42,logistic_regression_c1_balanced,movement,0.7083333333333334,0.5666666666666667,0.6296296296296297,30,0.8062015503875969,0.7005069028896685
42,xgboost_depth2_10,empty,0.7777777777777778,0.4666666666666667,0.5833333333333334,15,0.9632183908045977,0.8753391053391053
42,xgboost_depth2_10,static_presence,0.6,0.75,0.6666666666666666,28,0.8428571428571427,0.8182499302253636
42,xgboost_depth2_10,movement,0.5862068965517241,0.5666666666666667,0.576271186440678,30,0.7341085271317829,0.669930827622241
42,xgboost_depth2_20,empty,0.8461538461538461,0.7333333333333333,0.7857142857142857,15,0.9770114942528736,0.9221684633449339
42,xgboost_depth2_20,static_presence,0.6774193548387096,0.75,0.711864406779661,28,0.8746031746031746,0.8524249186879801
42,xgboost_depth2_20,movement,0.6206896551724138,0.6,0.6101694915254238,30,0.7705426356589147,0.7149262195749748
42,xgboost_depth3_20,empty,0.8571428571428571,0.8,0.8275862068965517,15,0.9747126436781609,0.8453360637184166
42,xgboost_depth3_20,static_presence,0.6896551724137931,0.7142857142857143,0.7017543859649122,28,0.8277777777777778,0.7835980597483687
42,xgboost_depth3_20,movement,0.6333333333333333,0.6333333333333333,0.6333333333333333,30,0.7728682170542636,0.7275631603529898
84,gradient_boosting_depth3_20,empty,0.75,0.5454545454545454,0.631578947368421,33,0.9013867488443761,0.8084888899343285
84,gradient_boosting_depth3_20,static_presence,0.5833333333333334,0.6774193548387096,0.6268656716417911,31,0.8112109994711793,0.728383371050577
84,gradient_boosting_depth3_20,movement,0.5625,0.6428571428571429,0.6,28,0.7924107142857143,0.6898972120969928
84,logistic_regression_c0_1,empty,0.6666666666666666,0.6666666666666666,0.6666666666666666,33,0.8305084745762712,0.6705165194825261
84,logistic_regression_c0_1,static_presence,0.5384615384615384,0.45161290322580644,0.49122807017543857,31,0.6805922792173453,0.6185417711706424
84,logistic_regression_c0_1,movement,0.6060606060606061,0.7142857142857143,0.6557377049180327,28,0.8353794642857143,0.7416821775968219
84,logistic_regression_c1,empty,0.7058823529411765,0.7272727272727273,0.7164179104477612,33,0.8253723677452491,0.6278404133098571
84,logistic_regression_c1,static_presence,0.6521739130434783,0.4838709677419355,0.5555555555555556,31,0.6948704389212057,0.6334959778161301
84,logistic_regression_c1,movement,0.6,0.75,0.6666666666666666,28,0.8191964285714285,0.7074676176844474
84,logistic_regression_c10,empty,0.6551724137931034,0.5757575757575758,0.6129032258064516,33,0.8068823831535696,0.5997292955793078
84,logistic_regression_c10,static_presence,0.5925925925925926,0.5161290322580645,0.5517241379310345,31,0.7059756742464303,0.635684018595952
84,logistic_regression_c10,movement,0.5833333333333334,0.75,0.65625,28,0.8191964285714285,0.6930241997849583
84,logistic_regression_c1_balanced,empty,0.6857142857142857,0.7272727272727273,0.7058823529411765,33,0.8263995891114535,0.6300245538488749
84,logistic_regression_c1_balanced,static_presence,0.6521739130434783,0.4838709677419355,0.5555555555555556,31,0.7028027498677948,0.6345255055335939
84,logistic_regression_c1_balanced,movement,0.6176470588235294,0.75,0.6774193548387096,28,0.8130580357142857,0.7063775765814251
84,xgboost_depth2_10,empty,0.65,0.3939393939393939,0.49056603773584906,33,0.8579866461222393,0.7529923195323718
84,xgboost_depth2_10,static_presence,0.46511627906976744,0.6451612903225806,0.5405405405405406,31,0.7625594923320994,0.6047671298128618
84,xgboost_depth2_10,movement,0.4827586206896552,0.5,0.49122807017543857,28,0.8178013392857143,0.6949741680478183
84,xgboost_depth2_20,empty,0.6666666666666666,0.48484848484848486,0.5614035087719298,33,0.8608115048793016,0.7486253137312695
84,xgboost_depth2_20,static_presence,0.5,0.6129032258064516,0.5507246376811594,31,0.7667900581702802,0.6470470606014838
84,xgboost_depth2_20,movement,0.5333333333333333,0.5714285714285714,0.5517241379310345,28,0.828125,0.7149689454534747
84,xgboost_depth3_20,empty,0.7575757575757576,0.7575757575757576,0.7575757575757576,33,0.8906009244992297,0.7844620168683465
84,xgboost_depth3_20,static_presence,0.6129032258064516,0.6129032258064516,0.6129032258064516,31,0.7858276044420942,0.6744425982887424
