classifier,family,top_k,estimated_model_units,max_depth,n_estimators,c,class_weight,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,roc_auc_ovr_weighted_min,roc_auc_ovr_weighted_max,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_min,average_precision_macro_max,average_precision_weighted_mean,average_precision_weighted_std,average_precision_weighted_min,average_precision_weighted_max,fit_time_ms_mean,fit_time_ms_std,fit_time_ms_min,fit_time_ms_max,prediction_time_ms_mean,prediction_time_ms_std,prediction_time_ms_min,prediction_time_ms_max
xgboost_depth3_20,xgboost,231,20,3,20,,,10,0.6932429550137695,0.07898199791883743,0.5569620253164557,0.8061224489795918,0.6912363931037973,0.08423611358240488,0.534677402831561,0.7949020626848311,0.692797709439818,0.07911154394137022,0.5586675287550836,0.8085281107505922,0.845181776175776,0.05797841901758287,0.7593286082154264,0.9361689503387561,0.8382325913284218,0.06357188467873555,0.7481775826169419,0.9410870259433822,0.7495750771136872,0.08559542378960408,0.6221369424081797,0.8841269311874113,0.7528681405438498,0.08253410877632844,0.6366274852243141,0.8944536338994103,640.4502499999921,88.09101397582192,533.6965999999848,802.0801999999776,5.080659999987347,1.131830676554724,3.7750000000187356,7.218199999954322
gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,10,0.6876444511002376,0.08108051016023393,0.569620253164557,0.8247422680412371,0.6881652465319912,0.08117604254757414,0.5643557239601784,0.8134877027734171,0.6879278984953661,0.08084007414302534,0.571397431465551,0.8189172020909871,0.8484175432960452,0.05401982996251343,0.7693948299215974,0.9433895814285792,0.8410735633662114,0.062221297384671394,0.7507120520351063,0.9458156458459673,0.7561747638994303,0.0718264811781415,0.6592053743376122,0.9021398030818074,0.7578356455361097,0.07169034010133292,0.6670957527491475,0.9063546718619407,1341.9508500000063,165.4170012948227,1115.8224000000132,1559.8329000000035,4.80509000000211,0.9020456135437651,3.7361999999916407,6.227099999989605
xgboost_depth2_20,xgboost,231,20,2,20,,,10,0.6637599716184676,0.09054805112592358,0.5316455696202531,0.8041237113402062,0.6591042833634533,0.08953541040910608,0.5190210563344891,0.7861750030424729,0.6617804170050187,0.08855980190741224,0.5335157736442452,0.7921771434378564,0.8406316232909792,0.06001012900362169,0.7459509465343371,0.9206530313274736,0.8343835220091536,0.06624979772652316,0.7295075966467025,0.9273502504450055,0.7451691778555654,0.08480261683637358,0.6115591044348445,0.8617392077231075,0.7499630422421566,0.08185290109541582,0.6276547520524376,0.8679790824759178,350.0983900000051,54.92559632531163,297.5089000000253,480.28909999999314,5.357780000002776,1.3717328914934006,3.663399999993544,7.667099999991933
xgboost_depth2_10,xgboost,231,10,2,10,,,10,0.6298703042058461,0.10713234689550365,0.4936708860759494,0.7835051546391752,0.6194049610910881,0.1082234325950561,0.478868258178603,0.7707502374169041,0.6266259906164289,0.10782409176676162,0.4938924890037942,0.777892058680236,0.8227198513617696,0.06042192018080254,0.7149749498861544,0.9024420687815357,0.8162180471489177,0.06775779992277405,0.6988180203403742,0.9095006475496603,0.7195078285438329,0.08506581685551767,0.5781163271984932,0.8387514974991798,0.7252763826763915,0.083394165894819,0.5918047047158239,0.8455678303024954,234.0181100000052,104.89630430346892,178.903900000023,542.6726999999687,4.903339999992795,1.5857530590898232,3.4967999999935273,8.928500000024542
logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,10,0.6199045470760435,0.049740021778388356,0.5063291139240507,0.7010309278350515,0.6192381866037888,0.05058282660047956,0.5055000129168927,0.6979443143377569,0.6181743637613469,0.051223973451749893,0.5000846628740053,0.703359971671616,0.778013550968836,0.04403853189324058,0.6809297071608328,0.8238880190764714,0.7731890118259312,0.04470998424916562,0.6713237274441153,0.8204834164287029,0.6656642840530481,0.05608246225351823,0.54112360965322,0.7339656168987392,0.6686913504419816,0.05202414945726029,0.5478063825934791,0.7311464470789888,98.28187999999614,22.782515511236056,74.69700000001467,160.05150000000867,6.486809999989873,1.5539240003675545,4.668699999967885,9.909499999992022
logistic_regression_c1,logistic_regression,231,1,,,1.0,,10,0.611400087382319,0.049575375187368195,0.4936708860759494,0.6804123711340206,0.6133406149907149,0.04907329348772927,0.4985883681535856,0.68003108003108,0.6107721386424306,0.04988481708915151,0.4888034365194519,0.6832287986927162,0.7766197826440038,0.0440589470312867,0.6804923458363747,0.8223191744843709,0.7718617290019048,0.04456343456387458,0.6711855920211698,0.8196931974760348,0.6644531065303573,0.0563655167808778,0.541863054485659,0.7346101934450565,0.6676573029632822,0.052103238335985555,0.5494100271320023,0.7311499218755435,92.15015999998855,11.782581930053334,78.7679999999682,107.56659999998419,6.315359999990733,1.8879700480635455,4.620999999985997,11.616399999979876
logistic_regression_c10,logistic_regression,231,1,,,10.0,,10,0.608805664994165,0.06184980885492782,0.46835443037974683,0.7216494845360825,0.6113991403479146,0.061865520734734655,0.470951654913919,0.7198551047152782,0.6070972507212584,0.06453947409408224,0.4551431438820978,0.7253338604848214,0.7705735134810339,0.049895798980747925,0.6561206300181935,0.8187220454052883,0.7639107670999674,0.05130478499638185,0.6421445564490272,0.8233125677637503,0.6546856794302899,0.060375640890114164,0.5157883800332086,0.7109249733018747,0.6543153717252503,0.05732180723465293,0.5162083896307247,0.7134950468151656,121.67335000000321,16.36610813866854,104.80050000001029,156.54050000000552,6.16208999998662,1.0588036724919172,4.74819999999454,8.768699999961882
logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,10,0.6028774371728206,0.04631408073333201,0.52,0.673469387755102,0.5966054962154063,0.052099527807519204,0.503030303030303,0.6686495352651723,0.6044622045536712,0.04621422265729846,0.5248484848484848,0.6757746510304504,0.773500923770617,0.0439708228380106,0.6952543686200171,0.8335297912268356,0.7721822341291777,0.044263555349855065,0.6946723545329794,0.8394013270332764,0.6650478200392007,0.051379578769200344,0.5809647031346631,0.7551262124622151,0.6737289237641039,0.0454376326356124,0.5995117695072515,0.764173056886557,68.79295000000525,11.086946560728913,55.11740000002874,87.84100000002582,6.088019999992866,1.163832934576723,4.486399999962032,8.103000000005522
