seed,classifier,true_label,predicted_label,count,normalized_by_true_class
13,logistic_regression_c10,empty,static_presence,14,0.3783783783783784
13,logistic_regression_c10,empty,movement,4,0.10810810810810811
13,logistic_regression_c10,static_presence,empty,2,0.0625
13,logistic_regression_c10,static_presence,static_presence,21,0.65625
13,logistic_regression_c10,static_presence,movement,9,0.28125
13,logistic_regression_c10,movement,empty,4,0.14814814814814814
13,logistic_regression_c10,movement,static_presence,6,0.2222222222222222
13,logistic_regression_c10,movement,movement,17,0.6296296296296297
13,logistic_regression_c1_balanced,empty,empty,19,0.5135135135135135
13,logistic_regression_c1_balanced,empty,static_presence,16,0.43243243243243246
13,logistic_regression_c1_balanced,empty,movement,2,0.05405405405405406
13,logistic_regression_c1_balanced,static_presence,empty,2,0.0625
13,logistic_regression_c1_balanced,static_presence,static_presence,25,0.78125
13,logistic_regression_c1_balanced,static_presence,movement,5,0.15625
13,logistic_regression_c1_balanced,movement,empty,3,0.1111111111111111
13,logistic_regression_c1_balanced,movement,static_presence,6,0.2222222222222222
13,logistic_regression_c1_balanced,movement,movement,18,0.6666666666666666
13,xgboost_depth2_10,empty,empty,32,0.8648648648648649
13,xgboost_depth2_10,empty,static_presence,0,0.0
13,xgboost_depth2_10,empty,movement,5,0.13513513513513514
13,xgboost_depth2_10,static_presence,empty,3,0.09375
13,xgboost_depth2_10,static_presence,static_presence,21,0.65625
13,xgboost_depth2_10,static_presence,movement,8,0.25
13,xgboost_depth2_10,movement,empty,1,0.037037037037037035
13,xgboost_depth2_10,movement,static_presence,12,0.4444444444444444
13,xgboost_depth2_10,movement,movement,14,0.5185185185185185
13,xgboost_depth2_20,empty,empty,33,0.8918918918918919
13,xgboost_depth2_20,empty,static_presence,0,0.0
13,xgboost_depth2_20,empty,movement,4,0.10810810810810811
13,xgboost_depth2_20,static_presence,empty,5,0.15625
13,xgboost_depth2_20,static_presence,static_presence,20,0.625
13,xgboost_depth2_20,static_presence,movement,7,0.21875
13,xgboost_depth2_20,movement,empty,1,0.037037037037037035
13,xgboost_depth2_20,movement,static_presence,11,0.4074074074074074
13,xgboost_depth2_20,movement,movement,15,0.5555555555555556
13,xgboost_depth3_20,empty,empty,29,0.7837837837837838
13,xgboost_depth3_20,empty,static_presence,2,0.05405405405405406
13,xgboost_depth3_20,empty,movement,6,0.16216216216216217
13,xgboost_depth3_20,static_presence,empty,4,0.125
13,xgboost_depth3_20,static_presence,static_presence,21,0.65625
13,xgboost_depth3_20,static_presence,movement,7,0.21875
13,xgboost_depth3_20,movement,empty,0,0.0
13,xgboost_depth3_20,movement,static_presence,10,0.37037037037037035
13,xgboost_depth3_20,movement,movement,17,0.6296296296296297
21,gradient_boosting_depth3_20,empty,empty,10,0.6666666666666666
21,gradient_boosting_depth3_20,empty,static_presence,2,0.13333333333333333
21,gradient_boosting_depth3_20,empty,movement,3,0.2
21,gradient_boosting_depth3_20,static_presence,empty,0,0.0
21,gradient_boosting_depth3_20,static_presence,static_presence,19,0.6551724137931034
21,gradient_boosting_depth3_20,static_presence,movement,10,0.3448275862068966
21,gradient_boosting_depth3_20,movement,empty,1,0.03225806451612903
