classifier,label,seeds,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,support_total
gradient_boosting_depth3_20,empty,10,0.8053094364509873,0.1471617002940053,0.7381487570458158,0.13137626855486745,0.7652863505417685,0.1243301041487482,0.9348074439707355,0.04665880356542548,0.83895151648558,0.12786351556281683,259
gradient_boosting_depth3_20,static_presence,10,0.6351548153078039,0.09361189468447025,0.6786076791673288,0.07690632873449073,0.652922873788064,0.0750452518894407,0.8029717456680338,0.06274064310149398,0.6988848325650894,0.08945544332562251,297
gradient_boosting_depth3_20,movement,10,0.6689248436748437,0.10407867669258197,0.6372754393130383,0.1171474429570712,0.6462865152661412,0.08833922715747025,0.8074734402493663,0.06870640679314599,0.7306879426476214,0.06723064260996321,301
logistic_regression_c0_1,empty,10,0.6171429231841131,0.16200304801438808,0.5851533819916173,0.09234303009856462,0.5949632022396296,0.11805146856094746,0.8160138983694318,0.05373637742037937,0.652724083086786,0.11575157706844462,259
logistic_regression_c0_1,static_presence,10,0.5313914145555094,0.04247683269221873,0.5879215993961544,0.10249166937904747,0.554363491118833,0.05736823950023486,0.7079374221803609,0.04574763538730181,0.6062364729072816,0.07343989019383018,297
logistic_regression_c0_1,movement,10,0.6632969398430418,0.07155462733417728,0.6249314801312936,0.08609406292685462,0.6404897952877564,0.068719440153355,0.7965514507620582,0.06469829424133644,0.7361829041235347,0.0697469002627142,301
logistic_regression_c1,empty,10,0.6854521749449102,0.10050613989179227,0.6601133352603941,0.10027441912919793,0.6633664702694553,0.06144369378118488,0.8493215226061681,0.04783471975578215,0.6917315341049534,0.10166403648722026,259
logistic_regression_c1,static_presence,10,0.5498108458486369,0.07903157631052887,0.5808795487049102,0.10086648982900533,0.5600721215748762,0.07131369013324157,0.6978593000430513,0.0529539466309694,0.5878267176479927,0.08893195406188698,297
logistic_regression_c1,movement,10,0.6192189254244208,0.06289208155294251,0.6212827433531811,0.10158574137229961,0.616583253127813,0.07154052795187155,0.7826785252827921,0.05760840008456463,0.7138010678381258,0.06659959998913151,301
logistic_regression_c10,empty,10,0.6932064574447123,0.10426400788877885,0.6670070337717396,0.10315023757846686,0.6711979194500246,0.06903660166515789,0.8565737389469779,0.05381801173177479,0.7013933050221348,0.10301253860041756,259
logistic_regression_c10,static_presence,10,0.5556152084139889,0.08818655183579431,0.5747303551565232,0.09082272628300721,0.5607402559667567,0.07455163094824946,0.6922963579438205,0.06183950865706383,0.5734053925076138,0.07957717987166746,297
logistic_regression_c10,movement,10,0.5997346086476522,0.07307920407752153,0.617489302141571,0.14019650501208492,0.6022592456269628,0.0971463800557315,0.7628504435523036,0.06392739033893971,0.6892583407611211,0.07313376083561776,301
logistic_regression_c1_balanced,empty,10,0.6676522187352565,0.10339148661787927,0.6953671050729874,0.0921520610668196,0.6736542878117131,0.06856184456994911,0.8492076350477518,0.04718677868810839,0.6916253752352399,0.09965932525516333,259
logistic_regression_c1_balanced,static_presence,10,0.5619940963762656,0.07780465620812138,0.5729446408708089,0.11251100950526684,0.5624914431534116,0.07762560311893713,0.7008257518581843,0.05217225294230786,0.5906603004651383,0.08919725074086317,297
logistic_regression_c1_balanced,movement,10,0.6364273407303425,0.06444425051401641,0.6143861916290432,0.10021211914079435,0.621568828846242,0.07302237286248764,0.7840072660005719,0.057454883343952906,0.714707176458766,0.06558766427304527,301
xgboost_depth2_10,empty,10,0.7013516746411483,0.16966172938516555,0.6177344992050875,0.21491990289887633,0.6468056329903656,0.1875514703455319,0.8955048150204982,0.059285919248829484,0.76773004557027,0.15124917614529124,259
xgboost_depth2_10,static_presence,10,0.6097510399699182,0.09049142787752608,0.6925239353249643,0.11015026027932347,0.6446218625615903,0.09123903887230325,0.7951550725452632,0.0655536342576456,0.6893759406800797,0.09510660770515296,297
xgboost_depth2_10,movement,10,0.5990535709609535,0.11923660326142026,0.547277133755492,0.0931701397888909,0.5667873877213084,0.08930864304668709,0.7774996665195477,0.07772555066592324,0.701417499381149,0.06474291309712828,301
xgboost_depth2_20,empty,10,0.7215148171594276,0.14126478912251347,0.7097441224647107,0.1737518180813703,0.7112153643797366,0.15080208749041055,0.9096913687316994,0.05698872908831949,0.7951149714292449,0.15368641913180384,259
xgboost_depth2_20,static_presence,10,0.6350668162219396,0.09472341442501775,0.6829473224217384,0.10302324566806614,0.6539053044805417,0.08765033191337822,0.8125104148524428,0.0677585209455509,0.7156686029834423,0.08220140931372855,297
xgboost_depth2_20,movement,10,0.6597467269112697,0.11383348598776429,0.5868612488562351,0.09051867669771246,0.6121921812300816,0.06395372615775698,0.7996930862887954,0.07183491323436843,0.7247239591540089,0.06016998201486274,301
xgboost_depth3_20,empty,10,0.7601875167664641,0.1548088780343807,0.7726899961458785,0.13281016066634313,0.7647170984162335,0.13940144912476407,0.9234758082094962,0.05109437354669999,0.814532533341441,0.1459902719319492,259
xgboost_depth3_20,static_presence,10,0.6614184844986635,0.08370417129991266,0.6933383322739551,0.07644667029003295,0.6747595310273579,0.07070223129285616,0.8099193234746779,0.0650431538187612,0.7126111719236442,0.08395537939085641,297
xgboost_depth3_20,movement,10,0.6695133779827884,0.10802053354342543,0.6103419270625071,0.09943050804986267,0.6342325498678004,0.08917077729383827,0.8021501968431537,0.07191394086975862,0.7215815260759764,0.07957691434275145,301
