stage,subcarrier,mean,variance,std,min,max,informative
clean_amplitude,0,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,1,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,2,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,3,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,4,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,5,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,6,4.754299256284997,2.7575010715173547,1.6605725131765112,0.0,13.45362404707371,True
clean_amplitude,7,4.865026614349199,2.8429074167760064,1.6860923512002557,0.0,13.45362404707371,True
clean_amplitude,8,5.104522290335349,3.073225661839315,1.7530617963549702,0.0,16.64331697709324,True
clean_amplitude,9,5.251176601827154,3.3270971035836037,1.8240331969521837,0.0,14.422205101855956,True
clean_amplitude,10,5.431561898125695,3.5819433207919227,1.892602261647154,0.0,15.811388300841896,True
clean_amplitude,11,5.431518142735121,3.5059336919905904,1.8724138677094309,0.0,16.401219466856727,True
clean_amplitude,12,5.544165831064042,3.684519786075601,1.9195102985073045,0.0,14.7648230602334,True
clean_amplitude,13,5.768764209752907,3.95895103010988,1.989711293155336,0.0,14.7648230602334,True
clean_amplitude,14,5.916119160595717,4.16999786933287,2.042057263970056,0.0,16.97056274847714,True
clean_amplitude,15,6.178310321831241,4.518880265282019,2.1257658067816454,0.0,16.0312195418814,True
clean_amplitude,16,6.227216132443291,4.643666953426353,2.15491692494777,0.0,16.15549442140351,True
clean_amplitude,17,6.348914776359998,4.843030552265438,2.2006886540956763,0.0,16.15549442140351,True
clean_amplitude,18,6.614613757977902,5.1992851582370845,2.280194105386005,0.0,16.278820596099706,True
clean_amplitude,19,6.810449974163457,5.521351295877268,2.349755582156848,0.0,17.69180601295413,True
clean_amplitude,20,7.007099173357299,5.837094942025577,2.4160080591805935,0.0,17.46424919657298,True
clean_amplitude,21,7.011901802070031,5.854795363855082,2.4196684408933145,0.0,17.08800749063506,True
clean_amplitude,22,7.0934922667167335,5.915483816789553,2.432176765119993,0.0,17.08800749063506,True
clean_amplitude,23,7.2923372490360645,6.376333312878976,2.5251402560806353,0.0,18.027756377319946,True
clean_amplitude,24,7.436394788867133,6.53241659618446,2.5558592676797485,0.0,18.027756377319946,True
clean_amplitude,25,7.5375388508216155,6.635874223696908,2.5760190650880106,0.0,17.69180601295413,True
clean_amplitude,26,7.61250256356772,6.825231896240905,2.61251447770934,0.0,18.027756377319946,True
clean_amplitude,27,7.6802376303159745,6.907359217712137,2.6281855371552703,0.0,18.027756377319946,True
clean_amplitude,28,7.643319571694839,6.880723695491453,2.62311335925298,0.0,17.46424919657298,True
clean_amplitude,29,7.662150198527819,6.842715523157245,2.6158584677228323,0.0,17.46424919657298,True
clean_amplitude,30,7.587534465273696,6.761704790358181,2.6003278236326626,0.0,16.492422502470642,True
clean_amplitude,31,7.501571044747997,6.536033162469398,2.556566674755305,0.0,16.492422502470642,True
clean_amplitude,32,0.0,0.0,0.0,0.0,0.0,False
clean_amplitude,33,7.4768526368334705,6.6353239554564745,2.575912256940534,0.0,16.1245154965971,True
clean_amplitude,34,7.5522732304522515,6.526635285303285,2.554728025701226,0.0,15.811388300841896,True
clean_amplitude,35,7.392787523251055,6.319434702783929,2.51384858390157,0.0,15.652475842498529,True
clean_amplitude,36,7.292750221693868,6.116851974528553,2.473227036591779,0.0,15.652475842498529,True
clean_amplitude,37,7.308358693955603,6.185126723672843,2.486991500522839,0.0,15.620499351813308,True
clean_amplitude,38,7.373423760423147,6.194867777461368,2.4889491311518137,0.0,15.297058540778355,True
clean_amplitude,39,7.332818954552941,6.064591240773887,2.462639080493503,1.0,15.297058540778355,True
clean_amplitude,40,7.310560689305948,5.963757737510334,2.4420806165051827,0.0,15.297058540778355,True
clean_amplitude,41,7.242430330134743,5.755502343575375,2.399062805258623,0.0,15.132745950421556,True
clean_amplitude,42,7.3101712677463375,5.733894002041508,2.3945550739211465,0.0,15.297058540778355,True
clean_amplitude,43,7.274369748065934,5.583137933597959,2.3628664654605345,0.0,15.132745950421556,True
clean_amplitude,44,7.434667212256387,5.781052979208216,2.4043820368668984,0.0,15.297058540778355,True
clean_amplitude,45,7.461557741768306,5.751518962921373,2.3982324664054926,0.0,15.556349186104045,True
clean_amplitude,46,7.5898298761944085,5.799283101362376,2.4081700731805418,0.0,15.620499351813308,True
