stage,rows,subcarriers,zero_std,informative,min_std,median_std,max_std
clean_amplitude,2458,192,26,166,0.0,10.146488776173394,14.749895278880382
hampel,2458,192,26,166,0.0,9.418997697910143,13.996257422981316
moving_average,2458,192,26,166,0.0,8.529687197299658,13.409830121256778
zscore,2458,192,26,166,0.0,0.999999998827625,0.9999999992542783
