seed,classifier,family,top_k,label,precision,recall,f1,support,roc_auc,average_precision
7,gradient_boosting_top30,gradient_boosting,30,empty,0.5714285714285714,0.24242424242424243,0.3404255319148936,33,0.6231671554252199,0.5164790042956561
7,gradient_boosting_top30,gradient_boosting,30,static_presence,0.2857142857142857,0.5714285714285714,0.38095238095238093,28,0.4973347547974414,0.30021666040704414
7,gradient_boosting_top30,gradient_boosting,30,movement,0.6,0.4411764705882353,0.5084745762711864,34,0.7314368370298939,0.6981647010176637
7,xgboost_top30,xgboost,30,empty,0.375,0.09090909090909091,0.14634146341463414,33,0.5977517106549364,0.417247054089125
7,xgboost_top30,xgboost,30,static_presence,0.21311475409836064,0.4642857142857143,0.29213483146067415,28,0.4786780383795309,0.31133238131034924
7,xgboost_top30,xgboost,30,movement,0.5384615384615384,0.4117647058823529,0.4666666666666667,34,0.7266152362584378,0.667781951214705
7,gradient_boosting_top50,gradient_boosting,50,empty,0.7,0.6363636363636364,0.6666666666666666,33,0.8748778103616813,0.68975489207129
7,gradient_boosting_top50,gradient_boosting,50,static_presence,0.4473684210526316,0.6071428571428571,0.5151515151515151,28,0.7249466950959489,0.4846835717097141
7,gradient_boosting_top50,gradient_boosting,50,movement,0.6296296296296297,0.5,0.5573770491803278,34,0.7516875602700097,0.7113282831848563
7,xgboost_top50,xgboost,50,empty,0.7619047619047619,0.48484848484848486,0.5925925925925926,33,0.8577712609970675,0.6482326274697081
7,xgboost_top50,xgboost,50,static_presence,0.38095238095238093,0.5714285714285714,0.45714285714285713,28,0.6988272921108742,0.5019236300592093
7,xgboost_top50,xgboost,50,movement,0.5625,0.5294117647058824,0.5454545454545454,34,0.7246865959498553,0.6757080333608237
7,gradient_boosting_top70,gradient_boosting,70,empty,0.75,0.6363636363636364,0.6885245901639344,33,0.8807429130009775,0.8420702278115418
7,gradient_boosting_top70,gradient_boosting,70,static_presence,0.43902439024390244,0.6428571428571429,0.5217391304347826,28,0.7436034115138592,0.4635109430744327
7,gradient_boosting_top70,gradient_boosting,70,movement,0.6153846153846154,0.47058823529411764,0.5333333333333333,34,0.7405978784956606,0.6882330196634637
7,xgboost_top70,xgboost,70,empty,0.7142857142857143,0.6060606060606061,0.6557377049180327,33,0.8641251221896382,0.8195065029239887
7,xgboost_top70,xgboost,70,static_presence,0.4166666666666667,0.5357142857142857,0.46875,28,0.7691897654584222,0.5234395066956452
7,xgboost_top70,xgboost,70,movement,0.5806451612903226,0.5294117647058824,0.5538461538461539,34,0.7555448408871746,0.6907859449544548
7,gradient_boosting_top100,gradient_boosting,100,empty,0.8928571428571429,0.7575757575757576,0.819672131147541,33,0.9071358748778104,0.8921779161123895
7,gradient_boosting_top100,gradient_boosting,100,static_presence,0.525,0.75,0.6176470588235294,28,0.8342217484008528,0.5747962000754537
7,gradient_boosting_top100,gradient_boosting,100,movement,0.6296296296296297,0.5,0.5573770491803278,34,0.7777242044358728,0.7143999067447221
7,xgboost_top100,xgboost,100,empty,0.8214285714285714,0.696969696969697,0.7540983606557377,33,0.8910068426197458,0.8630952465717074
7,xgboost_top100,xgboost,100,static_presence,0.5151515151515151,0.6071428571428571,0.5573770491803278,28,0.8208955223880596,0.6049540724751431
7,xgboost_top100,xgboost,100,movement,0.5882352941176471,0.5882352941176471,0.5882352941176471,34,0.7589199614271938,0.6940153513539249
7,gradient_boosting_top126,gradient_boosting,126,empty,0.78125,0.7575757575757576,0.7692307692307693,33,0.9100684261974584,0.8709054543422745
7,gradient_boosting_top126,gradient_boosting,126,static_presence,0.5294117647058824,0.6428571428571429,0.5806451612903226,28,0.8230277185501066,0.6000142259116338
7,gradient_boosting_top126,gradient_boosting,126,movement,0.6551724137931034,0.5588235294117647,0.6031746031746031,34,0.7796528447444552,0.7308926689375912
7,xgboost_top126,xgboost,126,empty,0.7352941176470589,0.7575757575757576,0.746268656716418,33,0.8856304985337243,0.8579098449416621
7,xgboost_top126,xgboost,126,static_presence,0.48484848484848486,0.5714285714285714,0.5245901639344263,28,0.820362473347548,0.6092403753244947
7,xgboost_top126,xgboost,126,movement,0.6071428571428571,0.5,0.5483870967741935,34,0.7603664416586308,0.6775375782380849
7,gradient_boosting_top160,gradient_boosting,160,empty,0.6666666666666666,0.7272727272727273,0.6956521739130435,33,0.8807429130009776,0.8372176978951388
7,gradient_boosting_top160,gradient_boosting,160,static_presence,0.5,0.6071428571428571,0.5483870967741935,28,0.7894456289978677,0.5341808844190665
7,gradient_boosting_top160,gradient_boosting,160,movement,0.6,0.4411764705882353,0.5084745762711864,34,0.7632594021215043,0.6858227666367568
7,xgboost_top160,xgboost,160,empty,0.7027027027027027,0.7878787878787878,0.7428571428571429,33,0.8695014662756598,0.8428317793399203
7,xgboost_top160,xgboost,160,static_presence,0.5161290322580645,0.5714285714285714,0.5423728813559322,28,0.8166311300639659,0.5892774517037328
7,xgboost_top160,xgboost,160,movement,0.5185185185185185,0.4117647058823529,0.45901639344262296,34,0.7492767598842816,0.6582671961292773
7,gradient_boosting_top231,gradient_boosting,231,empty,0.696969696969697,0.696969696969697,0.696969696969697,33,0.8895405669599218,0.8499765757465086
7,gradient_boosting_top231,gradient_boosting,231,static_presence,0.5135135135135135,0.6785714285714286,0.5846153846153846,28,0.7857142857142857,0.5487596349996537
7,gradient_boosting_top231,gradient_boosting,231,movement,0.56,0.4117647058823529,0.4745762711864407,34,0.748794599807136,0.6786353289422208
7,xgboost_top231,xgboost,231,empty,0.7027027027027027,0.7878787878787878,0.7428571428571429,33,0.886119257086999,0.8475791536978268
7,xgboost_top231,xgboost,231,static_presence,0.5,0.6071428571428571,0.5483870967741935,28,0.7985074626865671,0.5553229368711867
7,xgboost_top231,xgboost,231,movement,0.5833333333333334,0.4117647058823529,0.4827586206896552,34,0.7135969141755062,0.6254544549414376
13,gradient_boosting_top30,gradient_boosting,30,empty,0.7631578947368421,0.7837837837837838,0.7733333333333333,37,0.902427851580394,0.8196222199407581
13,gradient_boosting_top30,gradient_boosting,30,static_presence,0.6,0.5625,0.5806451612903226,32,0.775390625,0.6671343193396738
13,gradient_boosting_top30,gradient_boosting,30,movement,0.6071428571428571,0.6296296296296297,0.6181818181818182,27,0.8067632850241545,0.6769008180000127
13,xgboost_top30,xgboost,30,empty,0.7105263157894737,0.7297297297297297,0.72,37,0.8900595510765003,0.8208406115137723
13,xgboost_top30,xgboost,30,static_presence,0.5,0.5,0.5,32,0.7412109375,0.61074865677486
13,xgboost_top30,xgboost,30,movement,0.5384615384615384,0.5185185185185185,0.5283018867924528,27,0.7729468599033816,0.6448038313488648
13,gradient_boosting_top50,gradient_boosting,50,empty,0.7567567567567568,0.7567567567567568,0.7567567567567568,37,0.9065506184150252,0.8900246879733127
13,gradient_boosting_top50,gradient_boosting,50,static_presence,0.6363636363636364,0.65625,0.6461538461538462,32,0.83447265625,0.7061847876685801
13,gradient_boosting_top50,gradient_boosting,50,movement,0.6153846153846154,0.5925925925925926,0.6037735849056604,27,0.7965646806226516,0.6028458322400858
13,xgboost_top50,xgboost,50,empty,0.8108108108108109,0.8108108108108109,0.8108108108108109,37,0.9070087036188731,0.882227941460797
13,xgboost_top50,xgboost,50,static_presence,0.6363636363636364,0.65625,0.6461538461538462,32,0.830078125,0.7179875393071903
13,xgboost_top50,xgboost,50,movement,0.5384615384615384,0.5185185185185185,0.5283018867924528,27,0.8019323671497584,0.5671449837327982
13,gradient_boosting_top70,gradient_boosting,70,empty,0.9210526315789473,0.9459459459459459,0.9333333333333333,37,0.9867155290884104,0.9829480410112188
13,gradient_boosting_top70,gradient_boosting,70,static_presence,0.6756756756756757,0.78125,0.7246376811594203,32,0.87939453125,0.7773282572356761
13,gradient_boosting_top70,gradient_boosting,70,movement,0.6190476190476191,0.48148148148148145,0.5416666666666666,27,0.8137412775093935,0.6800295807823821
13,xgboost_top70,xgboost,70,empty,0.868421052631579,0.8918918918918919,0.88,37,0.9656436097114063,0.9424354458522184
13,xgboost_top70,xgboost,70,static_presence,0.6571428571428571,0.71875,0.6865671641791045,32,0.8603515625,0.7532258161890516
13,xgboost_top70,xgboost,70,movement,0.6086956521739131,0.5185185185185185,0.56,27,0.7863660762211486,0.6408283837667437
13,gradient_boosting_top100,gradient_boosting,100,empty,0.8823529411764706,0.8108108108108109,0.8450704225352113,37,0.9711406321575814,0.9611640533638155
13,gradient_boosting_top100,gradient_boosting,100,static_presence,0.6666666666666666,0.75,0.7058823529411765,32,0.8671875,0.7229885388462427
13,gradient_boosting_top100,gradient_boosting,100,movement,0.5769230769230769,0.5555555555555556,0.5660377358490566,27,0.8250134192163177,0.6918527882149381
13,xgboost_top100,xgboost,100,empty,0.8484848484848485,0.7567567567567568,0.8,37,0.9734310581768209,0.9597241584620813
13,xgboost_top100,xgboost,100,static_presence,0.6216216216216216,0.71875,0.6666666666666666,32,0.83251953125,0.6559500084534156
13,xgboost_top100,xgboost,100,movement,0.5769230769230769,0.5555555555555556,0.5660377358490566,27,0.8051529790660226,0.6603269505028044
13,gradient_boosting_top126,gradient_boosting,126,empty,0.8571428571428571,0.8108108108108109,0.8333333333333334,37,0.9761795693999085,0.9660157366933894
13,gradient_boosting_top126,gradient_boosting,126,static_presence,0.6111111111111112,0.6875,0.6470588235294118,32,0.8525390625,0.7342347215119225
13,gradient_boosting_top126,gradient_boosting,126,movement,0.6,0.5555555555555556,0.5769230769230769,27,0.8507783145464305,0.7002342423288475
13,xgboost_top126,xgboost,126,empty,0.8484848484848485,0.7567567567567568,0.8,37,0.9715987173614292,0.9571750486974159
13,xgboost_top126,xgboost,126,static_presence,0.6216216216216216,0.71875,0.6666666666666666,32,0.849609375,0.7111235945303715
13,xgboost_top126,xgboost,126,movement,0.5769230769230769,0.5555555555555556,0.5660377358490566,27,0.8389694041867954,0.6817333005794612
13,gradient_boosting_top160,gradient_boosting,160,empty,1.0,0.8648648648648649,0.927536231884058,37,0.9862574438845626,0.9821108913791838
13,gradient_boosting_top160,gradient_boosting,160,static_presence,0.6842105263157895,0.8125,0.7428571428571429,32,0.86962890625,0.7285642275225974
13,gradient_boosting_top160,gradient_boosting,160,movement,0.6153846153846154,0.5925925925925926,0.6037735849056604,27,0.8513150831991412,0.7051683564613109
13,xgboost_top160,xgboost,160,empty,0.868421052631579,0.8918918918918919,0.88,37,0.9770957398076042,0.9652623041311775
13,xgboost_top160,xgboost,160,static_presence,0.6052631578947368,0.71875,0.6571428571428571,32,0.84326171875,0.6790606047421254
13,xgboost_top160,xgboost,160,movement,0.65,0.48148148148148145,0.5531914893617021,27,0.8260869565217391,0.659814202449488
13,gradient_boosting_top231,gradient_boosting,231,empty,0.8918918918918919,0.8918918918918919,0.8918918918918919,37,0.9848831882730188,0.9785380293526897
13,gradient_boosting_top231,gradient_boosting,231,static_presence,0.65625,0.65625,0.65625,32,0.83837890625,0.6638309740306764
13,gradient_boosting_top231,gradient_boosting,231,movement,0.5925925925925926,0.5925925925925926,0.5925925925925926,27,0.8293075684380032,0.6535090115455848
13,xgboost_top231,xgboost,231,empty,0.8787878787878788,0.7837837837837838,0.8285714285714286,37,0.9702244617498855,0.9607032257133674
13,xgboost_top231,xgboost,231,static_presence,0.6363636363636364,0.65625,0.6461538461538462,32,0.83154296875,0.6537195504485395
13,xgboost_top231,xgboost,231,movement,0.5666666666666667,0.6296296296296297,0.5964912280701754,27,0.8132045088566827,0.6252685031328937
21,gradient_boosting_top30,gradient_boosting,30,empty,0.6923076923076923,0.6,0.6428571428571429,15,0.9144444444444444,0.7190914815538618
21,gradient_boosting_top30,gradient_boosting,30,static_presence,0.6470588235294118,0.7586206896551724,0.6984126984126984,29,0.7769865067466266,0.6704161872279459
21,gradient_boosting_top30,gradient_boosting,30,movement,0.6428571428571429,0.5806451612903226,0.6101694915254238,31,0.7100439882697948,0.7248829919523154
21,xgboost_top30,xgboost,30,empty,0.6923076923076923,0.6,0.6428571428571429,15,0.9066666666666667,0.771880026571509
21,xgboost_top30,xgboost,30,static_presence,0.6571428571428571,0.7931034482758621,0.71875,29,0.7991004497751125,0.6751236816914918
21,xgboost_top30,xgboost,30,movement,0.6666666666666666,0.5806451612903226,0.6206896551724138,31,0.7382697947214076,0.7374823298302905
21,gradient_boosting_top50,gradient_boosting,50,empty,0.8461538461538461,0.7333333333333333,0.7857142857142857,15,0.9233333333333332,0.8352952234531181
21,gradient_boosting_top50,gradient_boosting,50,static_presence,0.6176470588235294,0.7241379310344828,0.6666666666666666,29,0.7863568215892055,0.7127962654802815
21,gradient_boosting_top50,gradient_boosting,50,movement,0.7142857142857143,0.6451612903225806,0.6779661016949152,31,0.7434017595307918,0.7150654022919553
21,xgboost_top50,xgboost,50,empty,0.8333333333333334,0.6666666666666666,0.7407407407407407,15,0.9433333333333334,0.8388357303063185
21,xgboost_top50,xgboost,50,static_presence,0.6388888888888888,0.7931034482758621,0.7076923076923077,29,0.7908545727136432,0.6681394762321551
21,xgboost_top50,xgboost,50,movement,0.6666666666666666,0.5806451612903226,0.6206896551724138,31,0.748533724340176,0.7411746926928993
21,gradient_boosting_top70,gradient_boosting,70,empty,0.75,0.6,0.6666666666666666,15,0.9333333333333333,0.8127029723150412
21,gradient_boosting_top70,gradient_boosting,70,static_presence,0.6285714285714286,0.7586206896551724,0.6875,29,0.8020989505247377,0.6939725299579621
