classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
xgboost_top30,xgboost,30,movement,movement,186,0.6179401993355482
xgboost_top50,xgboost,50,empty,empty,161,0.6216216216216216
xgboost_top50,xgboost,50,empty,static_presence,48,0.18532818532818532
xgboost_top50,xgboost,50,empty,movement,50,0.19305019305019305
xgboost_top50,xgboost,50,static_presence,empty,38,0.12794612794612795
xgboost_top50,xgboost,50,static_presence,static_presence,198,0.6666666666666666
xgboost_top50,xgboost,50,static_presence,movement,61,0.2053872053872054
xgboost_top50,xgboost,50,movement,empty,33,0.10963455149501661
xgboost_top50,xgboost,50,movement,static_presence,79,0.26245847176079734
xgboost_top50,xgboost,50,movement,movement,189,0.627906976744186
xgboost_top70,xgboost,70,empty,empty,170,0.6563706563706564
xgboost_top70,xgboost,70,empty,static_presence,48,0.18532818532818532
xgboost_top70,xgboost,70,empty,movement,41,0.1583011583011583
xgboost_top70,xgboost,70,static_presence,empty,36,0.12121212121212122
xgboost_top70,xgboost,70,static_presence,static_presence,204,0.6868686868686869
xgboost_top70,xgboost,70,static_presence,movement,57,0.1919191919191919
xgboost_top70,xgboost,70,movement,empty,31,0.10299003322259136
xgboost_top70,xgboost,70,movement,static_presence,84,0.27906976744186046
xgboost_top70,xgboost,70,movement,movement,186,0.6179401993355482
xgboost_top100,xgboost,100,empty,empty,179,0.6911196911196911
xgboost_top100,xgboost,100,empty,static_presence,39,0.15057915057915058
xgboost_top100,xgboost,100,empty,movement,41,0.1583011583011583
xgboost_top100,xgboost,100,static_presence,empty,32,0.10774410774410774
xgboost_top100,xgboost,100,static_presence,static_presence,197,0.6632996632996633
xgboost_top100,xgboost,100,static_presence,movement,68,0.22895622895622897
xgboost_top100,xgboost,100,movement,empty,22,0.07308970099667775
xgboost_top100,xgboost,100,movement,static_presence,86,0.2857142857142857
xgboost_top100,xgboost,100,movement,movement,193,0.6411960132890365
xgboost_top126,xgboost,126,empty,empty,189,0.7297297297297297
xgboost_top126,xgboost,126,empty,static_presence,33,0.1274131274131274
xgboost_top126,xgboost,126,empty,movement,37,0.14285714285714285
xgboost_top126,xgboost,126,static_presence,empty,32,0.10774410774410774
xgboost_top126,xgboost,126,static_presence,static_presence,196,0.6599326599326599
xgboost_top126,xgboost,126,static_presence,movement,69,0.23232323232323232
xgboost_top126,xgboost,126,movement,empty,20,0.0664451827242525
xgboost_top126,xgboost,126,movement,static_presence,86,0.2857142857142857
xgboost_top126,xgboost,126,movement,movement,195,0.6478405315614618
xgboost_top160,xgboost,160,empty,empty,198,0.7644787644787645
