classifier,family,top_k,label,seeds,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,support_total
gradient_boosting_top30,gradient_boosting,30,empty,10,0.5654679974220193,0.21050807067021804,0.5323829912800501,0.22085193624734958,0.5372093099744149,0.20857536869774676,0.7611530812007766,0.13189272012585979,0.6109050766181193,0.19225659095384381,259
gradient_boosting_top30,gradient_boosting,30,static_presence,10,0.5703933946194009,0.11797775322204332,0.5832641426982361,0.09453697428266138,0.5675004341791541,0.09151087004818718,0.7328482691244121,0.09760849403428556,0.6183256695106475,0.12247815983583776,297
gradient_boosting_top30,gradient_boosting,30,movement,10,0.6315077466393256,0.049957494272403785,0.6170636599714661,0.11761193967064607,0.618990708782057,0.07389782743457679,0.781235002830303,0.05936469337446638,0.7083653510571527,0.048648260834348644,301
gradient_boosting_top50,gradient_boosting,50,empty,10,0.7373043514374784,0.09880268900475886,0.6289984703955293,0.1166104501523593,0.6700879730287285,0.09485165229833707,0.8587274021824948,0.0573219689726186,0.7349076909214837,0.10149167011982455,259
gradient_boosting_top50,gradient_boosting,50,static_presence,10,0.6155817958852223,0.10151028655913992,0.649674737803909,0.07529442899298298,0.625461417386039,0.06439066272669075,0.802790124974706,0.0491342575784479,0.7024690121737065,0.09378752540150789,297
gradient_boosting_top50,gradient_boosting,50,movement,10,0.6314469468838192,0.04992897807836871,0.6435338500744507,0.09669019935061395,0.6321566204218876,0.049266767670993444,0.7934870434673493,0.04964489016804319,0.7105391498713145,0.06382185316110736,301
gradient_boosting_top70,gradient_boosting,70,empty,10,0.7441154021417179,0.12396200394299636,0.6651143590114178,0.1573879679367052,0.6929665634474315,0.1291265289058454,0.8855409027195354,0.06082079524432138,0.8030546040316695,0.10394641558904417,259
gradient_boosting_top70,gradient_boosting,70,static_presence,10,0.5952979062606192,0.09756824395772423,0.6555999721913237,0.12492293743506108,0.6119146345047993,0.08530303273366319,0.8046691164445148,0.04970224775935067,0.6892613840030658,0.08929280332994477,297
gradient_boosting_top70,gradient_boosting,70,movement,10,0.6439583315790213,0.08800502216077374,0.6154183176174931,0.12177216540823696,0.6252388589741412,0.09251068108223492,0.7975653321780951,0.06079987081333623,0.7235926816520245,0.058688493371750215,301
gradient_boosting_top100,gradient_boosting,100,empty,10,0.7706923463115414,0.17529801775599702,0.6714247603218192,0.15675836242901048,0.7050883970467123,0.15319900083537571,0.9084796644232713,0.059844555876139384,0.8401991831903479,0.11122645471822921,259
gradient_boosting_top100,gradient_boosting,100,static_presence,10,0.623080846412342,0.11541596300192282,0.6349872874622596,0.1270098660935728,0.6133649834395913,0.08035095646010028,0.8093484633911143,0.06692793878874183,0.6964986384760813,0.07963392436089026,297
gradient_boosting_top100,gradient_boosting,100,movement,10,0.6426134546457127,0.04638327611441777,0.6582988483676748,0.11837121321348096,0.6470985642844701,0.0729388724557665,0.8156921652546906,0.05830662007377269,0.7371660934316333,0.051840864351083635,301
gradient_boosting_top126,gradient_boosting,126,empty,10,0.769170560130926,0.14227189832118345,0.7249628438599027,0.12861068509736065,0.7410554008799622,0.12384759447920989,0.9235771328362749,0.054578665117400664,0.8534369232643284,0.11596780284809363,259
gradient_boosting_top126,gradient_boosting,126,static_presence,10,0.65864454571985,0.09306855185235895,0.6584607897664071,0.07600844428337107,0.6513930817069481,0.053261687645889726,0.8250251997232112,0.052593569711301205,0.7214911576688873,0.07638940635729045,297
gradient_boosting_top126,gradient_boosting,126,movement,10,0.6608757230945284,0.06736028068580371,0.6601856904237409,0.09962458550499931,0.656811238691663,0.06562245306254835,0.8266440667304362,0.06488862712262562,0.7659443286057345,0.05929014098294761,301
gradient_boosting_top160,gradient_boosting,160,empty,10,0.770684025073254,0.16027285629298788,0.7109763573734162,0.1655661769705259,0.7305048187139641,0.1430749880596556,0.9265518218671702,0.04851538485079004,0.8346591893207069,0.1287269315297514,259
gradient_boosting_top160,gradient_boosting,160,static_presence,10,0.6666462326240004,0.09555224451459053,0.6748778404576513,0.10349046088283588,0.6621969474713169,0.07001255734453006,0.8192245473769466,0.05862065868602382,0.7124129343040774,0.08275428998456143,297
gradient_boosting_top160,gradient_boosting,160,movement,10,0.6634514328264328,0.0728336250522446,0.6563791508755276,0.1046616859660053,0.6562865164937867,0.07710461947747069,0.8231208131665222,0.07237224164344318,0.7588993571959354,0.06617448293185878,301
gradient_boosting_top231,gradient_boosting,231,empty,10,0.8053094364509873,0.1471617002940053,0.7381487570458158,0.13137626855486745,0.7652863505417685,0.1243301041487482,0.9348074439707355,0.04665880356542548,0.83895151648558,0.12786351556281683,259
gradient_boosting_top231,gradient_boosting,231,static_presence,10,0.6351548153078039,0.09361189468447025,0.6786076791673288,0.07690632873449073,0.652922873788064,0.0750452518894407,0.8029717456680338,0.06274064310149398,0.6988848325650894,0.08945544332562251,297
gradient_boosting_top231,gradient_boosting,231,movement,10,0.6689248436748437,0.10407867669258197,0.6372754393130383,0.1171474429570712,0.6462865152661412,0.08833922715747025,0.8074734402493663,0.06870640679314599,0.7306879426476214,0.06723064260996321,301
xgboost_top30,xgboost,30,empty,10,0.5360498772115981,0.2273275003215294,0.5131939225321578,0.26683198392309887,0.510732676697866,0.2476790710226115,0.7666613323521526,0.1350960010943173,0.612863130848402,0.2182248166074116,259
xgboost_top30,xgboost,30,static_presence,10,0.5635237769971376,0.15432829030086762,0.5558080406801208,0.12031462144665768,0.5449193390479804,0.11923591234088417,0.7316111993686165,0.09840901524795426,0.6316322772293697,0.12390546240062837,297
xgboost_top30,xgboost,30,movement,10,0.6268676845185466,0.07507419479310094,0.6188595370171304,0.11990293563807872,0.6174910286440534,0.08158879790773291,0.7906267967188869,0.06470251691554524,0.7082328414827677,0.06307931450932855,301
xgboost_top50,xgboost,50,empty,10,0.696490262019943,0.1411614694170643,0.6005690249072602,0.12598816427167506,0.6363707447080941,0.11203207253096628,0.8585160885836904,0.07030566375534382,0.7413353149507202,0.1331370415729324,259
xgboost_top50,xgboost,50,static_presence,10,0.627512270724345,0.11058686618105805,0.6659030867630701,0.09284266660981019,0.6379292390347518,0.07932486232812681,0.8063164584513087,0.06407991793318522,0.7055609649267756,0.1026786247761211,297
xgboost_top50,xgboost,50,movement,10,0.6335086352721884,0.05620303881670298,0.628868290518531,0.10770233224835475,0.6258094464290891,0.0604729170938602,0.807134976370183,0.06390866380838163,0.7163287223572534,0.08432816346351354,301
xgboost_top70,xgboost,70,empty,10,0.6928334848513117,0.1500623042725278,0.6215025653996242,0.13932601527591315,0.6503956447616853,0.1329869652804177,0.877542450625572,0.06464811360223639,0.7574857470675395,0.14724053326410072,259
xgboost_top70,xgboost,70,static_presence,10,0.6216475202006512,0.09970672293113302,0.6856244040997934,0.11651593444498824,0.6427963859838384,0.08297489366704404,0.8130016035374011,0.04782042355542371,0.6950167386260784,0.07678713821308464,297
xgboost_top70,xgboost,70,movement,10,0.6571684042866288,0.060713982653322104,0.6173678800094997,0.09064857182702361,0.633705025201123,0.06376139760903601,0.8046573413255407,0.06003435333596097,0.7280064815755078,0.05218278036797424,301
xgboost_top100,xgboost,100,empty,10,0.7504872937148479,0.1512679233525815,0.6582942501324854,0.12097903979301372,0.6958136211983103,0.12462541502499519,0.9030176796766592,0.06876141087990309,0.7880114811411479,0.15388852982663206,259
xgboost_top100,xgboost,100,static_presence,10,0.6150437823077766,0.05890099909302768,0.661561953758144,0.09411694733276342,0.633004044847982,0.06373919999160385,0.8059510309527977,0.044748763201976745,0.6946281366466874,0.04946349174540636,297
xgboost_top100,xgboost,100,movement,10,0.6440382594151488,0.08077664407717142,0.6414323584457884,0.061543279708577495,0.6410315661892291,0.0625590640711733,0.8108472205479601,0.06514550305062858,0.7373300665862366,0.06085814845513823,301
xgboost_top126,xgboost,126,empty,10,0.760530058177117,0.14374014339529742,0.6882851568145686,0.12671159001787505,0.7203044802027047,0.1284686467300764,0.9144425758752952,0.06013185451484508,0.8017381261878479,0.16496689292659497,259
xgboost_top126,xgboost,126,static_presence,10,0.6274920514878569,0.07365355469212852,0.6577680557762593,0.07909884683836264,0.6386018844560217,0.06109514892972415,0.8164936013938382,0.050181079886181514,0.7102434419141048,0.05934703211844312,297
xgboost_top126,xgboost,126,movement,10,0.6536971204119982,0.09146573445486617,0.6486370548404753,0.09273200187383368,0.6475738976886628,0.07765715961512674,0.8174490108645873,0.06112182439764761,0.7488779431729561,0.055416715139418656,301
xgboost_top160,xgboost,160,empty,10,0.7583416129020322,0.14254658540989543,0.7176942115912704,0.15119945594738896,0.7317138411853725,0.130269295714821,0.9148819805514021,0.05232886167934407,0.8012460360274659,0.14724218177882822,259
xgboost_top160,xgboost,160,static_presence,10,0.6515315118055887,0.09583573090047867,0.6558015850945494,0.07468057390567445,0.646822158462399,0.05274334509538232,0.8126014743353791,0.05139903314081324,0.6999878492638474,0.06993510437633162,297
xgboost_top160,xgboost,160,movement,10,0.6594285920704164,0.07911608903523984,0.642297796605974,0.12911821018513364,0.6464276683238153,0.09421957396311763,0.8135936699933928,0.06188199096683005,0.7501256370489747,0.06398053267127829,301
