seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
7,gradient_boosting_top126,gradient_boosting,126,empty,static_presence,5,0.15151515151515152
7,gradient_boosting_top126,gradient_boosting,126,empty,movement,3,0.09090909090909091
7,gradient_boosting_top126,gradient_boosting,126,static_presence,empty,3,0.10714285714285714
7,gradient_boosting_top126,gradient_boosting,126,static_presence,static_presence,18,0.6428571428571429
7,gradient_boosting_top126,gradient_boosting,126,static_presence,movement,7,0.25
7,gradient_boosting_top126,gradient_boosting,126,movement,empty,4,0.11764705882352941
7,gradient_boosting_top126,gradient_boosting,126,movement,static_presence,11,0.3235294117647059
7,gradient_boosting_top126,gradient_boosting,126,movement,movement,19,0.5588235294117647
7,xgboost_top126,xgboost,126,empty,empty,25,0.7575757575757576
7,xgboost_top126,xgboost,126,empty,static_presence,6,0.18181818181818182
7,xgboost_top126,xgboost,126,empty,movement,2,0.06060606060606061
7,xgboost_top126,xgboost,126,static_presence,empty,3,0.10714285714285714
7,xgboost_top126,xgboost,126,static_presence,static_presence,16,0.5714285714285714
7,xgboost_top126,xgboost,126,static_presence,movement,9,0.32142857142857145
7,xgboost_top126,xgboost,126,movement,empty,6,0.17647058823529413
7,xgboost_top126,xgboost,126,movement,static_presence,11,0.3235294117647059
7,xgboost_top126,xgboost,126,movement,movement,17,0.5
7,gradient_boosting_top160,gradient_boosting,160,empty,empty,24,0.7272727272727273
7,gradient_boosting_top160,gradient_boosting,160,empty,static_presence,6,0.18181818181818182
7,gradient_boosting_top160,gradient_boosting,160,empty,movement,3,0.09090909090909091
7,gradient_boosting_top160,gradient_boosting,160,static_presence,empty,4,0.14285714285714285
7,gradient_boosting_top160,gradient_boosting,160,static_presence,static_presence,17,0.6071428571428571
7,gradient_boosting_top160,gradient_boosting,160,static_presence,movement,7,0.25
7,gradient_boosting_top160,gradient_boosting,160,movement,empty,8,0.23529411764705882
7,gradient_boosting_top160,gradient_boosting,160,movement,static_presence,11,0.3235294117647059
7,gradient_boosting_top160,gradient_boosting,160,movement,movement,15,0.4411764705882353
7,xgboost_top160,xgboost,160,empty,empty,26,0.7878787878787878
7,xgboost_top160,xgboost,160,empty,static_presence,3,0.09090909090909091
7,xgboost_top160,xgboost,160,empty,movement,4,0.12121212121212122
7,xgboost_top160,xgboost,160,static_presence,empty,3,0.10714285714285714
7,xgboost_top160,xgboost,160,static_presence,static_presence,16,0.5714285714285714
7,xgboost_top160,xgboost,160,static_presence,movement,9,0.32142857142857145
7,xgboost_top160,xgboost,160,movement,empty,8,0.23529411764705882
7,xgboost_top160,xgboost,160,movement,static_presence,12,0.35294117647058826
7,xgboost_top160,xgboost,160,movement,movement,14,0.4117647058823529
7,gradient_boosting_top231,gradient_boosting,231,empty,empty,23,0.696969696969697
7,gradient_boosting_top231,gradient_boosting,231,empty,static_presence,4,0.12121212121212122
7,gradient_boosting_top231,gradient_boosting,231,empty,movement,6,0.18181818181818182
7,gradient_boosting_top231,gradient_boosting,231,static_presence,empty,4,0.14285714285714285
7,gradient_boosting_top231,gradient_boosting,231,static_presence,static_presence,19,0.6785714285714286
7,gradient_boosting_top231,gradient_boosting,231,static_presence,movement,5,0.17857142857142858
7,gradient_boosting_top231,gradient_boosting,231,movement,empty,6,0.17647058823529413
7,gradient_boosting_top231,gradient_boosting,231,movement,static_presence,14,0.4117647058823529
7,gradient_boosting_top231,gradient_boosting,231,movement,movement,14,0.4117647058823529
7,xgboost_top231,xgboost,231,empty,empty,26,0.7878787878787878
7,xgboost_top231,xgboost,231,empty,static_presence,5,0.15151515151515152
7,xgboost_top231,xgboost,231,empty,movement,2,0.06060606060606061
7,xgboost_top231,xgboost,231,static_presence,empty,3,0.10714285714285714
7,xgboost_top231,xgboost,231,static_presence,static_presence,17,0.6071428571428571
7,xgboost_top231,xgboost,231,static_presence,movement,8,0.2857142857142857
7,xgboost_top231,xgboost,231,movement,empty,8,0.23529411764705882
7,xgboost_top231,xgboost,231,movement,static_presence,12,0.35294117647058826
7,xgboost_top231,xgboost,231,movement,movement,14,0.4117647058823529
13,gradient_boosting_top30,gradient_boosting,30,empty,empty,29,0.7837837837837838
13,gradient_boosting_top30,gradient_boosting,30,empty,static_presence,4,0.10810810810810811
13,gradient_boosting_top30,gradient_boosting,30,empty,movement,4,0.10810810810810811
13,gradient_boosting_top30,gradient_boosting,30,static_presence,empty,7,0.21875
13,gradient_boosting_top30,gradient_boosting,30,static_presence,static_presence,18,0.5625
13,gradient_boosting_top30,gradient_boosting,30,static_presence,movement,7,0.21875
13,gradient_boosting_top30,gradient_boosting,30,movement,empty,2,0.07407407407407407
13,gradient_boosting_top30,gradient_boosting,30,movement,static_presence,8,0.2962962962962963
13,gradient_boosting_top30,gradient_boosting,30,movement,movement,17,0.6296296296296297
13,xgboost_top30,xgboost,30,empty,empty,27,0.7297297297297297
13,xgboost_top30,xgboost,30,empty,static_presence,5,0.13513513513513514
13,xgboost_top30,xgboost,30,empty,movement,5,0.13513513513513514
13,xgboost_top30,xgboost,30,static_presence,empty,9,0.28125
13,xgboost_top30,xgboost,30,static_presence,static_presence,16,0.5
13,xgboost_top30,xgboost,30,static_presence,movement,7,0.21875
13,xgboost_top30,xgboost,30,movement,empty,2,0.07407407407407407
13,xgboost_top30,xgboost,30,movement,static_presence,11,0.4074074074074074
13,xgboost_top30,xgboost,30,movement,movement,14,0.5185185185185185
13,gradient_boosting_top50,gradient_boosting,50,empty,empty,28,0.7567567567567568
13,gradient_boosting_top50,gradient_boosting,50,empty,static_presence,3,0.08108108108108109
13,gradient_boosting_top50,gradient_boosting,50,empty,movement,6,0.16216216216216217
