label,pc_timestamp,elapsed_s,packet_index,feature_type,window_size,mean_amplitude,std_amplitude,variance_amplitude,energy_amplitude,max_amplitude,min_amplitude,range_amplitude,num_subcarriers,rssi,rate,channel,csi_len
empty,2026-05-17T22:29:41.080,8.126789,0,packet,1,53.3726294754364,5.2894052116624595,27.97780749316199,149584.0,61.18823416311342,38.01315561749642,23.175078545616998,52,-25,11,6,384
empty,2026-05-17T22:29:41.190,8.237301,1,packet,1,55.73891464913797,6.082788572113306,37.00031681303223,163479.0,65.29931086925804,38.948684188300895,26.35062668095714,52,-25,11,6,384
empty,2026-05-17T22:29:41.297,8.34376,2,packet,1,55.521275464999384,5.405080370963995,29.214893816580286,161815.0,64.4980619863884,41.048751503547585,23.449310482840808,52,-25,11,6,384
empty,2026-05-17T22:29:41.410,8.456528,3,packet,1,45.386841120683115,4.714547780877545,22.22696077817739,108274.0,53.600373133029585,33.1058907144937,20.49448241853589,52,-25,11,6,384
empty,2026-05-17T22:29:41.519,8.565782,4,packet,1,56.18073033984936,5.41317481318048,29.302461558051526,165650.0,64.00781202322104,42.720018726587654,21.28779329663338,52,-25,11,6,384
empty,2026-05-17T22:29:41.520,8.566782,5,packet,1,53.600958277184716,5.669992083684327,32.14881022904294,151071.0,64.19501538281614,38.05259518088089,26.142420201935245,52,-25,11,6,384
empty,2026-05-17T22:29:41.629,8.67617,6,packet,1,55.546438604786275,5.1754677099769975,26.78546601701455,161834.0,64.40496875241847,43.04648650006177,21.3584822523567,52,-25,11,6,384
empty,2026-05-17T22:29:41.737,8.784276,7,packet,1,47.401288161726924,4.873653249210773,23.752495993542723,118073.0,55.57877292636101,34.88552708502482,20.693245841336193,52,-25,11,6,384
empty,2026-05-17T22:29:41.850,8.896686,8,packet,1,46.38323292989605,4.898933468098268,23.999549124853324,113121.0,53.85164807134504,33.97057550292606,19.88107256841898,52,-25,11,6,384
empty,2026-05-17T22:29:41.954,9.001154,9,packet,1,54.674034712796214,5.1979956707548425,27.01915899318609,156846.0,61.5223536610881,42.01190307520001,19.510450585888087,52,-25,11,6,384
empty,2026-05-17T22:29:42.065,9.111718,10,packet,1,46.79968064895459,4.636963404794571,21.501429617404064,115009.0,54.378304497290095,34.20526275297414,20.173041744315952,52,-25,11,6,384
