label,pc_timestamp,elapsed_s,packet_index,feature_type,window_size,mean_amplitude,std_amplitude,variance_amplitude,energy_amplitude,max_amplitude,min_amplitude,range_amplitude,num_subcarriers,rssi,rate,channel,csi_len
empty,2026-05-17T22:01:17.699,10.9068,0,packet,1,49.90714626067723,3.255349104073121,10.597297789389671,130068.66837504902,55.202318572998045,41.67602462768555,13.526293945312496,52,-25,11,6,384
empty,2026-05-17T22:01:17.807,11.014987,1,packet,1,52.75173450738957,3.3948826342530043,11.525228100352619,145302.0775252003,58.76580123901367,43.80374450683594,14.962056732177729,52,-25,11,6,384
empty,2026-05-17T22:01:17.915,11.123266,2,packet,1,51.990215844374454,3.215792043853683,10.341318469312647,141092.8408247257,57.58761749267578,43.724788665771484,13.862828826904298,52,-25,11,6,384
empty,2026-05-17T22:01:18.018,11.225557,3,packet,1,59.38345530461043,3.815087226999333,14.554890549613459,184129.38203214246,65.25479431152344,48.705361938476564,16.549432373046876,52,-25,11,6,384
empty,2026-05-17T22:01:18.130,11.337683,4,packet,1,59.09770907988916,3.725807265892459,13.881639782577038,182333.8846302371,65.12573471069337,48.94958267211914,16.176152038574223,52,-25,11,6,384
empty,2026-05-17T22:01:18.243,11.450796,5,packet,1,59.52391779117095,3.882830458048559,15.076372365949583,185025.0044019534,65.19202423095703,47.786398315429686,17.405625915527345,52,-25,11,6,384
empty,2026-05-17T22:01:18.352,11.559718,6,packet,1,51.1312059035668,3.396972798388988,11.539424192994714,136548.86134998882,56.31408843994141,42.36775207519531,13.946336364746095,52,-25,11,6,384
empty,2026-05-17T22:01:18.460,11.668215,7,packet,1,49.444021174846554,3.1397893993691115,9.858277472390645,127637.61438537536,54.710882568359374,40.661505126953124,14.04937744140625,52,-25,11,6,384
empty,2026-05-17T22:01:18.461,11.669122,8,packet,1,50.054062376266856,3.369319757677058,11.352315629472988,130871.59675182776,55.31418991088867,41.29183807373047,14.022351837158205,52,-25,11,6,384
empty,2026-05-17T22:01:18.562,11.770492,9,packet,1,58.901641159791204,3.935191986482272,15.485735970474291,181214.23149893875,64.93431854248047,47.4162353515625,17.51808319091797,52,-25,11,6,384
empty,2026-05-17T22:01:18.674,11.881836,10,packet,1,59.073785957923285,4.045450607296247,16.365670616073572,182316.0486169677,65.35310287475586,47.804823303222655,17.548279571533207,52,-25,11,6,384
empty,2026-05-17T22:01:30.391,23.598967,11,packet,1,58.457665865237914,3.7619105239447377,14.15197079016617,178435.43479850213,63.6093994140625,48.40099945068359,15.208399963378909,52,-25,11,6,384
empty,2026-05-17T22:01:30.513,23.721448,12,packet,1,50.745543802701505,3.1573044583605414,9.968571442783352,134424.0969382834,56.27689056396484,42.562078857421874,13.714811706542967,52,-25,11,6,384
empty,2026-05-17T22:01:30.610,23.817713,13,packet,1,51.93011870751014,3.1071804572704713,9.654570394043535,140732.37356724715,57.10464324951172,44.02049865722656,13.084144592285156,52,-25,11,6,384
empty,2026-05-17T22:01:30.722,23.930062,14,packet,1,59.51492870159637,4.12240816932826,16.994249114544377,185069.0913484735,65.24781494140625,48.06800765991211,17.179807281494135,52,-25,11,6,384
empty,2026-05-17T22:01:30.835,24.043487,15,packet,1,51.95393900137681,3.150620647438972,9.926410464068768,140875.18578758827,57.27752685546875,43.784410095214845,13.493116760253905,52,-25,11,6,384
empty,2026-05-17T22:01:30.836,24.044498,16,packet,1,53.20929118058619,3.486155960494799,12.153283380893413,147855.86146870768,59.1835823059082,44.4379997253418,14.745582580566406,52,-25,11,6,384
empty,2026-05-17T22:01:30.946,24.153822,17,packet,1,60.392141134311,4.141890432122931,17.155256351711483,190547.03029118894,67.2147430419922,49.72309188842773,17.49165115356446,52,-25,11,6,384
empty,2026-05-17T22:01:31.058,24.265949,18,packet,1,58.72731687961479,3.8441483918924257,14.777476858889123,180111.11168635404,64.41290588378907,48.889733123779294,15.523172760009771,52,-25,11,6,384
empty,2026-05-17T22:01:31.166,24.374284,19,packet,1,59.84641544268681,4.14247321554638,17.160084341519163,187135.18333536948,66.67592163085938,48.12777938842773,18.548142242431645,52,-25,11,6,384
empty,2026-05-17T22:01:31.166,24.374284,19,window,20,30.673833278069864,21.857347751801615,477.7436507431872,5447530.363061823,67.2147430419922,0.0,67.2147430419922,3840,-25,11,6,384
empty,2026-05-17T22:01:31.266,24.473952,20,packet,1,57.56960984865824,3.987198798148552,15.897754255957256,173168.20208389964,63.340180206298825,46.52067413330078,16.819506072998045,52,-25,11,6,384
empty,2026-05-17T22:01:31.266,24.473952,20,window,20,30.85528358208635,22.006869928314988,484.30232404177445,5515587.260055334,67.2147430419922,0.0,67.2147430419922,3840,-25,11,6,384
empty,2026-05-17T22:01:42.868,36.075845,21,packet,1,51.808312589694296,3.408244913501327,11.616133390407667,140177.3041126579,56.40768737792969,42.45813064575195,13.94955673217774,52,-24,11,6,384
empty,2026-05-17T22:01:42.868,36.075845,21,window,20,30.858003016362577,21.99473871620967,483.7685311943327,5514181.944392383,67.2147430419922,0.0,67.2147430419922,3840,-24,11,6,384
empty,2026-05-17T22:01:42.974,36.181703,22,packet,1,49.48813391098608,3.106993625048923,9.653409386094646,127853.89798364487,54.27107391357422,40.76587753295898,13.505196380615239,52,-24,11,6,384
empty,2026-05-17T22:01:42.974,36.181703,22,window,20,30.817276259313044,21.964930822816513,482.4581860511149,5499504.776040737,67.2147430419922,0.0,67.2147430419922,3840,-24,11,6,384
empty,2026-05-17T22:01:43.083,36.291392,23,packet,1,58.96676054367653,4.283454949584663,18.347986305121353,181762.19543666122,67.5351791381836,48.37227325439453,19.162905883789065,52,-25,11,6,384
empty,2026-05-17T22:01:43.083,36.291392,23,window,20,30.832285430605218,21.956626861254264,482.09346312435235,5501657.4259148855,67.2147430419922,0.0,67.2147430419922,3840,-25,11,6,384
empty,2026-05-17T22:01:43.190,36.397621,24,packet,1,28.351062856614586,20.720799609884637,429.35153647299535,157841.1906013064,68.98072052001953,0.0,68.98072052001953,128,-20,11,6,256
empty,2026-05-17T22:01:43.190,36.397621,24,window,20,30.640967643993417,21.836365139904494,476.8268425232363,5345667.116820863,68.98072052001953,0.0,68.98072052001953,3776,-20,11,6,256
empty,2026-05-17T22:01:43.297,36.504848,25,packet,1,58.85176693109366,3.7595958436023507,14.134560907232071,180838.58165458805,63.94422607421875,48.15104751586914,15.79317855834961,52,-24,11,6,384
empty,2026-05-17T22:01:43.297,36.504848,25,window,20,30.65107560243649,21.830353416090848,476.5643302714294,5347015.243878727,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:43.411,36.619298,26,packet,1,52.05994256337483,3.2187701123561308,10.360481036197099,141471.10123838036,56.965117645263675,43.390586853027344,13.574530792236331,52,-24,11,6,384
empty,2026-05-17T22:01:43.411,36.619298,26,window,20,30.71591761235967,21.829997997850334,476.5488125861496,5361981.954174073,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:43.522,36.730469,27,packet,1,59.59570268239729,3.766907120863427,14.189589257211592,185423.54310822723,65.35579833984374,49.51480712890625,15.840991210937496,52,-24,11,6,384
empty,2026-05-17T22:01:43.522,36.730469,27,window,20,31.0258264182735,22.023108750792826,485.01731904924753,5466210.189771485,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:43.527,36.735472,28,packet,1,58.3237680997604,4.12704174674042,17.03247357933822,177772.10874456627,64.63862457275391,46.52001113891602,18.118613433837893,52,-25,11,6,384
empty,2026-05-17T22:01:43.527,36.735472,28,window,20,31.280551521176985,22.182730928372653,492.07355144058073,5552783.41373862,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:43.634,36.841711,29,packet,1,59.04011849501193,3.7890060624497304,14.35656694128081,182004.7922600093,64.04005966186523,47.96147918701172,16.07858047485351,52,-24,11,6,384
empty,2026-05-17T22:01:43.634,36.841711,29,window,20,31.338173443483036,22.17353468437829,491.66564039932695,5564867.747533839,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:43.746,36.953972,30,packet,1,58.70531360552862,3.9379321468761512,15.507309593400613,180014.70006607688,63.305268096923825,46.635012817382815,16.67025527954101,52,-24,11,6,384
empty,2026-05-17T22:01:43.746,36.953972,30,window,20,31.353604932482934,22.179729579677993,491.9404042276429,5569558.261945736,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:43.856,37.064398,31,packet,1,58.269015620305,3.8293798247179835,14.664149841957133,177317.00122246786,63.324562072753906,47.52638626098633,15.798175811767578,52,-24,11,6,384
empty,2026-05-17T22:01:43.856,37.064398,31,window,20,31.32530427024524,22.182394750161066,492.05863685197323,5563306.633219195,68.98072052001953,0.0,68.98072052001953,3776,-24,11,6,384
empty,2026-05-17T22:01:55.553,48.761428,32,packet,1,58.3498026346549,3.915310347434648,15.329655116728825,177841.51437623522,63.653228759765625,47.04046401977539,16.612764739990233,52,-25,11,6,384
empty,2026-05-17T22:01:55.553,48.761428,32,window,20,31.495022571768796,22.33944868508552,499.05096755356925,5629968.476584846,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:55.662,48.869936,33,packet,1,51.43081474793264,3.1800874755807267,10.1129563523454,138072.5664234025,56.49049530029297,43.07306900024414,13.417426300048831,52,-25,11,6,384
empty,2026-05-17T22:01:55.662,48.869936,33,window,20,31.500521224661323,22.33141212234668,498.6919673780922,5629920.862937771,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:55.772,48.979538,34,packet,1,58.687966740437055,4.067433082754799,16.544011882688206,179962.71550448527,64.81768646240235,47.95794525146484,16.859741210937507,52,-25,11,6,384
empty,2026-05-17T22:01:55.772,48.979538,34,window,20,31.517225637829874,22.296780899730823,497.1464384906013,5628059.844697127,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:55.879,49.086965,35,packet,1,51.06485129992167,3.1175457796233905,9.719091688047614,136101.58275850033,56.304422760009764,42.5105697631836,13.793852996826168,52,-25,11,6,384
empty,2026-05-17T22:01:55.879,49.086965,35,window,20,31.508265699926064,22.28476760009687,496.6108669903273,5623905.202562593,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:55.986,49.193533,36,packet,1,60.63767168338483,4.073671569795953,16.59480005856382,192063.1454165077,67.32227325439453,49.707296752929686,17.614976501464845,52,-25,11,6,384
empty,2026-05-17T22:01:55.986,49.193533,36,window,20,31.735715911095447,22.44080621482008,503.58978357110743,5704574.811500212,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:56.098,49.306302,37,packet,1,52.3846815476051,3.1894040982504688,10.172298501936886,143225.0122859885,57.58111419677734,43.88943862915039,13.691675567626952,52,-25,11,6,384
empty,2026-05-17T22:01:56.098,49.306302,37,window,20,31.499915716557197,22.26731648354477,495.8333833783447,5618982.80564379,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:56.105,49.313343,38,packet,1,57.89359945884117,4.139201987792326,17.13299309574394,175177.69627261691,63.90354995727539,46.67365188598633,17.229898071289057,52,-25,11,6,384
empty,2026-05-17T22:01:56.105,49.313343,38,window,20,31.45929696701341,22.248061962170905,494.97626107259583,5606089.854537509,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:56.204,49.41242,39,packet,1,59.98085351479361,4.05916530527922,16.47682297558254,187937.33978961283,65.94739685058593,48.15293884277344,17.794458007812494,52,-25,11,6,384
empty,2026-05-17T22:01:56.204,49.41242,39,window,20,31.483173013491164,22.24938654237071,495.0352015118269,5611987.0519069135,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
empty,2026-05-17T22:01:56.322,49.530201,40,packet,1,52.86588124250757,3.3515773132583697,11.233070486748192,145913.7924417503,57.803130340576175,43.15951232910156,14.643618011474615,52,-25,11,6,384
empty,2026-05-17T22:01:56.322,49.530201,40,window,20,31.357808836082274,22.142448284290694,490.28801602248797,5564314.32130198,68.98072052001953,0.0,68.98072052001953,3776,-25,11,6,384
