max_depth,min_samples_split,train_samples,test_samples,features_per_sample,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,empty_precision,empty_recall,empty_f1,static_presence_precision,static_presence_recall,static_presence_f1,movement_precision,movement_recall,movement_f1,tree_nodes,tree_decision_nodes,tree_leaf_nodes,tree_actual_max_depth
6,5,632,158,30,0.620253164556962,0.6255007658772239,0.6143995364334347,0.608970164257805,0.6476421310030382,0.620253164556962,0.6221926576660284,0.4583333333333333,0.5641025641025641,0.5057471264367815,0.6376811594202898,0.7457627118644068,0.6875,0.7804878048780488,0.5333333333333333,0.6336633663366336,75,37,38,6
6,2,632,158,30,0.620253164556962,0.6255007658772239,0.6143995364334347,0.608970164257805,0.6476421310030382,0.620253164556962,0.6221926576660284,0.4583333333333333,0.5641025641025641,0.5057471264367815,0.6376811594202898,0.7457627118644068,0.6875,0.7804878048780488,0.5333333333333333,0.6336633663366336,77,38,39,6
6,20,632,158,30,0.6139240506329114,0.6220238095238095,0.6058525278864262,0.6016430544417714,0.646507685352622,0.6139240506329114,0.6169344824202558,0.4375,0.5384615384615384,0.4827586206896552,0.6285714285714286,0.7457627118644068,0.6821705426356589,0.8,0.5333333333333333,0.64,55,27,28,6
6,10,632,158,30,0.6139240506329114,0.6220238095238095,0.6058525278864262,0.6016430544417714,0.646507685352622,0.6139240506329114,0.6169344824202558,0.4375,0.5384615384615384,0.4827586206896552,0.6285714285714286,0.7457627118644068,0.6821705426356589,0.8,0.5333333333333333,0.64,63,31,32,6
8,2,632,158,30,0.569620253164557,0.5643952955983031,0.5549036650731566,0.5532393249518631,0.5709315311128388,0.569620253164557,0.5634770556179219,0.5151515151515151,0.4358974358974359,0.4722222222222222,0.5657894736842105,0.7288135593220338,0.6370370370370371,0.6122448979591837,0.5,0.5504587155963303,139,69,70,8
8,20,632,158,30,0.569620253164557,0.5639322301024429,0.5548095031145879,0.5532127524371911,0.5761464224795764,0.569620253164557,0.5660217073864089,0.4722222222222222,0.4358974358974359,0.45333333333333337,0.56,0.711864406779661,0.6268656716417912,0.6595744680851063,0.5166666666666667,0.5794392523364487,81,40,41,8
5,20,632,158,30,0.6012658227848101,0.6343263553408481,0.5563233376792699,0.5431329264597672,0.6306717421879777,0.6012658227848101,0.572953701557746,0.6666666666666666,0.20512820512820512,0.31372549019607837,0.532608695652174,0.8305084745762712,0.6490066225165564,0.7037037037037037,0.6333333333333333,0.6666666666666667,39,19,20,5
5,10,632,158,30,0.6012658227848101,0.6343263553408481,0.5563233376792699,0.5431329264597672,0.6306717421879777,0.6012658227848101,0.572953701557746,0.6666666666666666,0.20512820512820512,0.31372549019607837,0.532608695652174,0.8305084745762712,0.6490066225165564,0.7037037037037037,0.6333333333333333,0.6666666666666667,43,21,22,5
5,5,632,158,30,0.6012658227848101,0.6343263553408481,0.5563233376792699,0.5431329264597672,0.6306717421879777,0.6012658227848101,0.572953701557746,0.6666666666666666,0.20512820512820512,0.31372549019607837,0.532608695652174,0.8305084745762712,0.6490066225165564,0.7037037037037037,0.6333333333333333,0.6666666666666667,47,23,24,5
5,2,632,158,30,0.6012658227848101,0.6343263553408481,0.5563233376792699,0.5431329264597672,0.6306717421879777,0.6012658227848101,0.572953701557746,0.6666666666666666,0.20512820512820512,0.31372549019607837,0.532608695652174,0.8305084745762712,0.6490066225165564,0.7037037037037037,0.6333333333333333,0.6666666666666667,49,24,25,5
8,5,632,158,30,0.5569620253164557,0.5500927643784786,0.5408011009705925,0.5383890860905676,0.5566978229726873,0.5569620253164557,0.5494486950805779,0.5,0.41025641025641024,0.4507042253521127,0.5584415584415584,0.7288135593220338,0.6323529411764706,0.5918367346938775,0.48333333333333334,0.5321100917431193,121,60,61,8
