strategy,scenarios,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,final_state_changes_mean,extra_state_changes_mean,missing_state_changes_mean,transition_success_rate_mean,transition_delay_mean,realtime_score_mean,realtime_score_std
majority_vote_3,90,0.6779629629629628,0.19569167891394645,0.6649790869520102,0.20122370555685867,0.6705105332428483,0.7226632909922036,0.6349521143660065,0.6373218554978204,12.522222222222222,8.522222222222222,0.0,0.9722222222222222,1.7694444444444444,0.6046735313964547,0.22786153607160978
confidence_hold_055,90,0.7000000000000002,0.1995364999563108,0.653888377486269,0.2169753704796848,0.6700725925598149,0.7647859416632541,0.6239118886770118,0.5729673021185412,8.822222222222223,5.022222222222222,0.2,0.8555555555555555,2.4944444444444445,0.5978328219307134,0.24297945243242605
confirm2_conf050_override075,90,0.6868518518518514,0.20631233729775345,0.6546384007450697,0.22656186655212013,0.661357588036995,0.744434344047716,0.5984383939020494,0.6210424642854423,6.933333333333334,3.3,0.36666666666666664,0.8527777777777777,3.0194444444444444,0.5969439563006252,0.26266443070514867
majority_vote_5,90,0.6614814814814816,0.1831420625884814,0.6423440599962713,0.19326038830551795,0.645427896405475,0.7036301504511836,0.5964771515873784,0.6269248779502505,10.055555555555555,6.1,0.044444444444444446,0.9416666666666667,2.688888888888889,0.5836218377740485,0.221147736900463
raw_prediction,90,0.6814814814814819,0.18584881092237848,0.6689831492533967,0.18688134754404853,0.6804952894110536,0.7293860046081437,0.6661409946869349,0.6114224484651092,20.344444444444445,16.344444444444445,0.0,0.9833333333333333,0.8694444444444445,0.5785664825867299,0.22646563944267195
confidence_hold_065,90,0.6905555555555557,0.22138801756415738,0.6293963132447863,0.24844573777559925,0.6433577109209814,0.7358021431589009,0.5927974717116451,0.5595893248638129,4.777777777777778,1.4333333333333333,0.6555555555555556,0.7833333333333333,3.5166666666666666,0.5673963132447865,0.2909754714357607
vote3_confirm2_conf050,90,0.6431481481481481,0.19592916401440963,0.6109036763869043,0.21193529631056215,0.6162433940332381,0.6953044428118393,0.5532014981936386,0.5842050881552345,6.466666666666667,2.6777777777777776,0.2111111111111111,0.85,3.533333333333333,0.5558481208313488,0.23983933525429232
confirm3_conf050_override080,90,0.6188888888888889,0.22236384376140308,0.572355116040162,0.24740973394821347,0.5731360872558745,0.6798552747207562,0.4687598134381322,0.5684502599615968,3.9444444444444446,0.7666666666666667,0.8222222222222222,0.7388888888888889,4.525,0.498605116040162,0.2937422138791284
confirm2_conf060_override080,90,0.6364814814814814,0.2109047887175112,0.5748058769253086,0.25023836436581776,0.5844609531338862,0.6983773349061817,0.4995097999873235,0.5265304958824201,3.6555555555555554,0.6666666666666666,1.011111111111111,0.7166666666666667,4.475,0.49638921025864213,0.30347642400081715
movement_priority_confirm,90,0.6092592592592594,0.2366707238972927,0.5625706890081804,0.26187649975388877,0.5586285918397552,0.6513403793893869,0.4540905127848496,0.5822811748503034,3.7555555555555555,0.7,0.9444444444444444,0.725,4.5055555555555555,0.48568180011929135,0.31135225036862096
vote3_confirm2_conf060,90,0.5964814814814814,0.18518416666386572,0.5382742979427816,0.21609189704109183,0.547307543151384,0.6458361231049214,0.4758786988236535,0.4931080718997692,4.2444444444444445,1.1111111111111112,0.8666666666666667,0.7388888888888889,4.752777777777778,0.4591909646094482,0.26268921879060325
