seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
7,seed7_quad1_scenario1,quad1,raw_prediction,60,0.45,0.4446943300601837,0.49460880582831807,0.4571428571428572,0.6818181818181818,0.1951219512195122,4,25,21,0,4,4,1.0,2.0,0.577638934247693,0.13515566244629748,0.3196943300601837
7,seed7_quad1_scenario1,quad1,majority_vote_3,60,0.4166666666666667,0.4163246694026448,0.46238030095759236,0.4117647058823529,0.6511627906976745,0.18604651162790697,4,19,15,0,4,4,1.0,2.75,0.577638934247693,0.13515566244629748,0.3138246694026448
7,seed7_quad1_scenario1,quad1,majority_vote_5,60,0.4166666666666667,0.37705373618799887,0.40700993797105317,0.13793103448275862,0.7659574468085107,0.22727272727272727,4,15,11,0,4,3,0.75,5.0,0.577638934247693,0.13515566244629748,0.2720537361879989
7,seed7_quad1_scenario1,quad1,confidence_hold_055,60,0.36666666666666664,0.32888888888888884,0.3466666666666666,0.07999999999999999,0.6666666666666666,0.23999999999999996,4,13,9,0,4,3,0.75,4.5,0.577638934247693,0.13515566244629748,0.23888888888888885
7,seed7_quad1_scenario1,quad1,confidence_hold_065,60,0.5,0.4009090909090909,0.4310909090909091,0.07999999999999999,0.8727272727272727,0.25,4,5,1,0,4,3,0.75,4.75,0.577638934247693,0.13515566244629748,0.3484090909090909
7,seed7_quad1_scenario1,quad1,confirm2_conf050_override075,60,0.48333333333333334,0.4663352520495378,0.5185766614338043,0.5,0.6938775510204083,0.20512820512820512,4,19,15,0,4,4,1.0,2.75,0.577638934247693,0.13515566244629748,0.3638352520495378
7,seed7_quad1_scenario1,quad1,confirm2_conf060_override080,60,0.6333333333333333,0.5929738671674155,0.6470525115686406,0.6486486486486487,0.8076923076923077,0.3225806451612903,4,4,0,0,4,3,0.75,5.5,0.577638934247693,0.13515566244629748,0.5379738671674155
7,seed7_quad1_scenario1,quad1,confirm3_conf050_override080,60,0.4666666666666667,0.4117851434924606,0.44536168438607454,0.2222222222222222,0.7692307692307692,0.2439024390243903,4,5,1,0,4,3,0.75,5.75,0.577638934247693,0.13515566244629748,0.3492851434924606
7,seed7_quad1_scenario1,quad1,vote3_confirm2_conf050,60,0.45,0.44893029675638374,0.4910973084886129,0.5,0.6086956521739131,0.23809523809523808,4,16,12,0,4,4,1.0,3.25,0.577638934247693,0.13515566244629748,0.3564302967563837
7,seed7_quad1_scenario1,quad1,vote3_confirm2_conf060,60,0.6666666666666666,0.628743961352657,0.6711594202898551,0.8695652173913043,0.6,0.4166666666666667,4,8,4,0,4,4,1.0,3.5,0.577638934247693,0.13515566244629748,0.5737439613526569
